Age,Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Subscription Status,WasContactedBefore,PreviouslyContacted
40,management,married,high.school,no,unknown,no,cellular,4,0,0,0
25,student,single,high.school,no,yes,no,cellular,1,0,1,6
40,admin.,divorced,basic.9y,no,no,no,cellular,1,0,0,0
31,unemployed,single,professional.course,no,unknown,no,cellular,1,0,0,0
35,blue-collar,married,basic.9y,no,unknown,no,telephone,4,0,0,0
44,management,divorced,university.degree,no,yes,no,cellular,1,0,0,0
42,admin.,married,basic.6y,no,unknown,no,telephone,3,0,0,0
41,blue-collar,married,basic.6y,no,no,no,telephone,1,0,0,0
60,retired,divorced,university.degree,no,unknown,no,telephone,4,0,0,0
29,admin.,single,high.school,no,yes,no,cellular,3,1,0,0
53,housemaid,married,basic.4y,no,yes,no,cellular,2,1,0,0
60,technician,married,basic.4y,no,yes,no,cellular,6,0,0,0
45,admin.,divorced,university.degree,unknown,unknown,no,telephone,1,0,0,0
52,entrepreneur,married,basic.9y,no,unknown,yes,telephone,5,0,0,0
49,self-employed,divorced,university.degree,no,unknown,yes,cellular,2,0,0,0
45,blue-collar,married,basic.9y,unknown,yes,no,cellular,4,0,0,0
42,admin.,single,high.school,no,no,yes,cellular,1,0,0,0
28,management,married,university.degree,no,unknown,unknown,telephone,2,0,0,0
33,blue-collar,married,high.school,no,no,no,cellular,2,0,0,0
38,admin.,married,unknown,no,yes,no,cellular,3,0,0,0
46,technician,married,university.degree,no,yes,no,cellular,14,0,0,0
54,admin.,married,high.school,unknown,yes,no,telephone,12,0,0,0
45,technician,divorced,professional.course,no,unknown,no,cellular,1,0,0,0
38,admin.,married,high.school,no,yes,no,telephone,2,0,0,0
24,technician,single,professional.course,no,unknown,no,telephone,2,0,0,0
31,technician,married,university.degree,no,unknown,no,cellular,1,0,0,0
29,technician,married,professional.course,no,yes,no,telephone,42,0,0,0
38,housemaid,divorced,university.degree,no,unknown,no,cellular,1,0,0,0
35,admin.,married,university.degree,no,unknown,unknown,telephone,1,0,0,0
54,blue-collar,married,unknown,unknown,unknown,yes,cellular,1,0,0,0
36,services,married,high.school,unknown,no,no,telephone,3,0,0,0
44,services,married,high.school,no,unknown,no,cellular,1,0,0,0
35,technician,married,university.degree,no,unknown,no,cellular,1,0,0,0
32,entrepreneur,married,high.school,unknown,unknown,unknown,telephone,8,0,0,0
53,blue-collar,married,basic.6y,no,unknown,yes,cellular,2,0,0,0
24,technician,single,professional.course,unknown,yes,yes,telephone,1,0,0,0
31,admin.,divorced,high.school,no,unknown,no,cellular,6,0,0,0
44,admin.,married,university.degree,no,unknown,no,cellular,5,0,0,0
28,blue-collar,married,basic.4y,unknown,no,yes,cellular,2,0,0,0
54,admin.,married,university.degree,no,unknown,yes,cellular,5,0,0,0
31,admin.,married,university.degree,no,unknown,no,cellular,2,1,1,13
45,blue-collar,single,basic.9y,no,no,no,telephone,2,0,0,0
45,technician,single,university.degree,no,no,no,cellular,3,0,0,0
37,admin.,married,high.school,no,yes,no,cellular,6,0,0,0
47,blue-collar,single,basic.9y,no,unknown,no,telephone,1,0,0,0
47,blue-collar,married,professional.course,unknown,unknown,no,telephone,1,0,0,0
47,blue-collar,married,basic.9y,unknown,yes,unknown,telephone,4,0,0,0
26,blue-collar,single,basic.9y,no,no,no,cellular,2,0,0,0
38,blue-collar,married,high.school,unknown,no,no,cellular,3,0,0,0
52,technician,married,basic.9y,no,unknown,yes,telephone,3,0,0,0
43,technician,married,unknown,no,unknown,no,telephone,2,0,0,0
59,management,married,university.degree,no,no,no,cellular,2,0,0,0
51,unemployed,married,professional.course,no,unknown,no,telephone,3,0,0,0
29,blue-collar,married,unknown,unknown,no,yes,telephone,5,0,0,0
34,admin.,single,university.degree,no,yes,no,telephone,3,0,0,0
37,student,single,unknown,no,unknown,no,cellular,2,0,0,0
38,admin.,single,high.school,no,no,no,cellular,3,0,0,0
55,self-employed,married,unknown,unknown,unknown,yes,telephone,1,0,0,0
56,services,married,basic.4y,no,yes,yes,cellular,1,0,0,0
42,blue-collar,married,basic.6y,no,unknown,no,cellular,1,0,0,0
34,admin.,married,university.degree,no,unknown,no,telephone,4,0,0,0
81,retired,married,basic.6y,no,unknown,no,cellular,2,0,1,4
44,technician,divorced,professional.course,no,unknown,no,cellular,2,0,0,0
30,admin.,married,high.school,no,unknown,no,cellular,2,0,0,0
47,services,married,high.school,no,yes,no,cellular,1,0,0,0
37,technician,single,university.degree,no,unknown,no,cellular,2,1,0,0
50,admin.,single,basic.9y,no,unknown,unknown,cellular,1,1,0,0
31,admin.,single,high.school,no,yes,no,cellular,1,1,0,0
35,admin.,married,university.degree,no,unknown,no,cellular,1,1,0,0
29,admin.,married,high.school,no,unknown,no,cellular,1,0,0,0
53,self-employed,married,university.degree,no,unknown,yes,telephone,1,0,0,0
29,admin.,single,basic.9y,unknown,unknown,no,telephone,2,0,0,0
45,blue-collar,married,basic.9y,unknown,no,no,telephone,1,0,0,0
39,management,married,university.degree,no,unknown,no,telephone,1,1,0,0
41,unemployed,divorced,university.degree,unknown,unknown,no,cellular,1,0,0,0
55,admin.,married,basic.4y,no,unknown,no,cellular,1,0,0,0
41,technician,single,professional.course,no,unknown,no,telephone,1,0,0,0
30,services,married,high.school,no,no,unknown,cellular,1,0,0,0
50,blue-collar,divorced,professional.course,no,yes,no,cellular,1,0,0,0
37,management,married,university.degree,no,no,no,telephone,1,0,0,0
35,admin.,married,high.school,no,unknown,no,cellular,2,0,0,0
58,technician,married,professional.course,no,unknown,no,cellular,2,1,0,0
34,admin.,single,high.school,no,unknown,no,cellular,1,0,0,0
48,blue-collar,married,basic.4y,no,unknown,no,telephone,2,0,0,0
30,technician,single,professional.course,no,unknown,unknown,telephone,1,0,0,0
63,technician,married,unknown,no,yes,no,cellular,1,0,0,0
53,unemployed,married,basic.9y,no,unknown,no,cellular,2,0,0,0
51,blue-collar,married,basic.4y,unknown,yes,unknown,telephone,4,0,0,0
33,management,single,university.degree,no,no,no,cellular,3,1,0,0
54,entrepreneur,married,basic.9y,no,unknown,yes,cellular,1,0,0,0
39,blue-collar,married,basic.6y,no,unknown,no,telephone,5,0,0,0
27,services,single,high.school,no,unknown,yes,telephone,1,0,0,0
43,technician,married,professional.course,no,no,no,cellular,3,0,0,0
36,admin.,married,high.school,unknown,unknown,no,cellular,3,0,0,0
41,blue-collar,married,basic.9y,unknown,unknown,no,telephone,1,0,0,0
39,technician,married,basic.6y,no,no,no,cellular,3,0,0,0
51,unemployed,married,high.school,no,no,no,cellular,5,0,1,3
32,services,married,professional.course,no,unknown,no,cellular,1,0,0,0
47,services,married,high.school,no,yes,no,cellular,1,0,0,0
39,blue-collar,married,basic.9y,no,unknown,yes,telephone,5,0,0,0
52,blue-collar,married,basic.9y,no,unknown,no,cellular,1,0,0,0
38,services,married,high.school,unknown,unknown,unknown,telephone,7,0,0,0
56,management,married,university.degree,unknown,unknown,yes,telephone,2,0,0,0
33,services,married,professional.course,no,unknown,no,cellular,5,0,0,0
52,admin.,divorced,university.degree,no,no,no,cellular,2,0,0,0
27,blue-collar,single,basic.9y,no,unknown,unknown,cellular,3,0,0,0
51,blue-collar,married,basic.9y,no,unknown,no,cellular,1,1,1,6
52,blue-collar,married,basic.4y,unknown,yes,yes,telephone,1,0,0,0
55,blue-collar,married,basic.4y,unknown,unknown,no,telephone,2,0,0,0
36,technician,married,professional.course,no,unknown,no,telephone,1,0,0,0
21,admin.,single,high.school,no,unknown,no,cellular,1,0,0,0
46,housemaid,married,basic.4y,no,unknown,yes,cellular,14,0,0,0
33,technician,single,university.degree,no,no,no,cellular,1,0,0,0
22,blue-collar,married,professional.course,no,unknown,unknown,cellular,5,0,0,0
42,technician,married,high.school,unknown,unknown,no,cellular,2,0,0,0
35,services,divorced,basic.9y,no,unknown,yes,cellular,6,0,0,0
38,admin.,married,high.school,no,unknown,unknown,cellular,1,0,0,0
39,services,divorced,high.school,no,no,no,cellular,1,0,0,0
31,technician,single,professional.course,no,yes,no,cellular,3,0,0,0
74,retired,married,basic.9y,no,unknown,no,cellular,1,1,0,0
26,admin.,single,high.school,no,yes,no,telephone,2,0,0,0
55,technician,married,professional.course,unknown,unknown,no,cellular,4,0,0,0
33,admin.,married,university.degree,no,unknown,yes,cellular,3,0,0,0
43,unemployed,married,high.school,no,yes,no,telephone,3,0,0,0
26,technician,single,professional.course,no,yes,no,cellular,1,0,0,0
35,technician,married,professional.course,no,unknown,no,cellular,3,0,0,0
33,admin.,single,university.degree,no,unknown,no,cellular,1,1,0,0
37,admin.,married,professional.course,no,unknown,yes,cellular,5,1,0,0
28,admin.,single,high.school,no,no,no,telephone,2,1,0,0
38,student,single,university.degree,no,unknown,unknown,telephone,1,0,0,0
37,self-employed,married,professional.course,no,yes,yes,cellular,1,1,1,5
48,retired,divorced,basic.4y,unknown,unknown,no,cellular,3,0,0,0
24,entrepreneur,married,university.degree,unknown,unknown,no,telephone,2,0,0,0
44,blue-collar,single,basic.9y,no,yes,no,telephone,11,1,0,0
32,admin.,single,university.degree,no,unknown,unknown,cellular,3,0,0,0
45,self-employed,married,basic.4y,no,unknown,unknown,cellular,1,0,0,0
28,technician,single,university.degree,unknown,no,no,telephone,2,0,0,0
54,technician,married,university.degree,no,unknown,no,cellular,1,0,1,4
26,services,single,high.school,no,no,no,telephone,4,0,0,0
32,admin.,divorced,high.school,no,unknown,no,cellular,1,0,0,0
43,blue-collar,divorced,basic.9y,no,unknown,no,telephone,3,0,0,0
37,housemaid,single,high.school,no,yes,no,cellular,2,0,0,0
34,admin.,single,university.degree,no,yes,no,cellular,1,1,1,6
40,housemaid,divorced,basic.6y,unknown,yes,unknown,telephone,5,0,0,0
28,student,single,basic.4y,no,no,no,telephone,8,0,0,0
32,technician,single,university.degree,no,no,yes,cellular,1,0,0,0
29,services,married,high.school,no,yes,unknown,telephone,2,0,0,0
54,admin.,divorced,professional.course,no,yes,no,cellular,1,0,0,0
35,admin.,single,basic.9y,no,unknown,no,cellular,3,0,1,9
27,self-employed,married,basic.9y,no,yes,no,cellular,2,0,0,0
48,housemaid,married,basic.9y,no,unknown,no,cellular,1,0,0,0
38,entrepreneur,married,high.school,no,unknown,no,cellular,2,0,0,0
46,admin.,single,university.degree,no,unknown,no,cellular,3,0,0,0
34,blue-collar,married,basic.4y,no,unknown,yes,cellular,4,0,0,0
80,retired,divorced,basic.4y,no,no,yes,cellular,2,1,1,6
35,admin.,married,high.school,no,unknown,no,cellular,1,0,1,4
29,admin.,single,university.degree,no,yes,no,cellular,1,0,0,0
38,blue-collar,single,high.school,unknown,no,no,cellular,3,0,0,0
57,management,married,university.degree,no,yes,no,telephone,1,0,0,0
47,admin.,married,university.degree,no,unknown,no,cellular,3,0,0,0
36,technician,married,professional.course,no,unknown,no,telephone,1,0,0,0
62,retired,married,university.degree,unknown,unknown,yes,cellular,2,0,0,0
28,blue-collar,single,high.school,no,no,no,cellular,1,0,0,0
50,housemaid,married,basic.4y,no,no,no,cellular,1,0,0,0
32,technician,single,university.degree,no,no,yes,cellular,2,0,0,0
29,services,single,basic.6y,no,unknown,yes,cellular,5,0,0,0
38,technician,divorced,university.degree,unknown,unknown,no,cellular,3,0,0,0
30,management,single,university.degree,no,unknown,no,telephone,3,0,0,0
36,management,married,basic.4y,no,unknown,no,cellular,2,0,0,0
41,blue-collar,married,basic.4y,unknown,unknown,yes,cellular,1,0,0,0
38,blue-collar,single,basic.9y,no,yes,no,telephone,1,0,0,0
44,technician,married,professional.course,no,yes,no,telephone,3,0,0,0
47,blue-collar,married,basic.9y,no,no,no,cellular,1,0,0,0
51,admin.,divorced,university.degree,no,yes,no,cellular,6,0,0,0
43,entrepreneur,married,high.school,no,yes,yes,telephone,2,1,0,0
58,management,married,university.degree,no,no,no,telephone,1,0,0,0
42,blue-collar,married,basic.9y,unknown,unknown,no,telephone,2,0,0,0
46,admin.,single,university.degree,no,no,no,cellular,1,0,0,0
39,technician,married,professional.course,no,unknown,unknown,telephone,5,0,0,0
45,admin.,single,university.degree,no,no,no,cellular,1,1,1,3
55,technician,divorced,university.degree,no,unknown,no,cellular,1,0,0,0
35,management,married,university.degree,no,unknown,no,telephone,1,0,0,0
51,entrepreneur,divorced,university.degree,no,unknown,no,cellular,1,0,0,0
32,admin.,single,university.degree,no,unknown,unknown,cellular,3,0,0,0
41,admin.,married,basic.9y,unknown,unknown,no,telephone,2,0,0,0
54,technician,married,professional.course,unknown,no,yes,cellular,1,0,0,0
40,blue-collar,married,high.school,no,unknown,no,telephone,3,0,0,0
54,management,married,university.degree,no,no,no,cellular,1,0,0,0
37,blue-collar,single,high.school,no,yes,yes,telephone,2,0,0,0
40,housemaid,married,basic.4y,unknown,unknown,no,telephone,4,0,0,0
28,admin.,married,university.degree,no,yes,no,cellular,1,0,0,0
31,management,married,university.degree,no,unknown,yes,cellular,2,0,0,0
45,admin.,married,basic.6y,unknown,unknown,no,telephone,1,0,0,0
40,entrepreneur,married,university.degree,no,unknown,no,cellular,3,0,0,0
32,admin.,married,high.school,no,no,no,cellular,1,0,0,0
39,blue-collar,married,basic.9y,no,unknown,no,cellular,1,0,0,0
35,admin.,married,high.school,no,unknown,no,cellular,2,1,1,15
29,unemployed,single,university.degree,no,unknown,no,telephone,1,0,0,0
43,self-employed,divorced,university.degree,no,unknown,no,telephone,1,0,0,0
56,technician,married,professional.course,no,unknown,yes,cellular,2,1,0,0
47,admin.,married,university.degree,unknown,yes,yes,cellular,2,0,0,0
47,admin.,married,basic.9y,no,yes,no,cellular,1,0,0,0
35,admin.,single,university.degree,no,unknown,no,cellular,1,1,1,14
32,management,married,university.degree,no,unknown,yes,cellular,9,0,0,0
44,blue-collar,single,high.school,unknown,unknown,no,cellular,2,1,0,0
45,technician,married,unknown,unknown,unknown,no,cellular,2,0,0,0
41,technician,married,university.degree,no,unknown,no,cellular,1,0,0,0
38,services,married,high.school,no,unknown,no,telephone,1,0,0,0
44,blue-collar,single,basic.9y,unknown,unknown,no,telephone,2,0,0,0
57,admin.,married,university.degree,no,yes,no,cellular,2,0,0,0
41,technician,divorced,university.degree,no,unknown,yes,cellular,2,0,0,0
41,admin.,married,high.school,no,unknown,unknown,cellular,4,0,0,0
40,technician,married,professional.course,no,unknown,yes,cellular,1,0,0,0
34,unknown,single,university.degree,no,unknown,no,telephone,1,0,0,0
51,admin.,divorced,high.school,no,unknown,no,cellular,1,1,1,6
39,services,single,university.degree,unknown,unknown,no,cellular,2,0,0,0
34,services,single,high.school,no,unknown,unknown,cellular,1,0,0,0
28,blue-collar,divorced,basic.4y,no,unknown,no,telephone,1,0,0,0
29,technician,single,university.degree,no,no,yes,cellular,1,0,0,0
59,retired,divorced,high.school,no,yes,no,cellular,2,0,0,0
34,admin.,married,university.degree,no,unknown,no,cellular,1,0,0,0
31,technician,single,professional.course,no,yes,unknown,cellular,2,0,0,0
33,technician,married,professional.course,no,unknown,no,telephone,17,0,0,0
24,admin.,married,high.school,no,yes,no,telephone,2,0,0,0
60,retired,married,basic.4y,unknown,unknown,no,cellular,1,0,0,0
34,blue-collar,married,basic.9y,no,unknown,no,cellular,1,0,0,0
29,admin.,single,university.degree,no,unknown,no,telephone,1,0,0,0
55,admin.,married,high.school,no,unknown,no,telephone,1,0,0,0
34,technician,married,professional.course,no,no,no,cellular,2,0,0,0
36,blue-collar,married,basic.4y,no,no,no,cellular,2,0,0,0
49,blue-collar,married,basic.4y,no,yes,no,cellular,1,0,0,0
38,services,married,basic.9y,no,yes,no,cellular,1,0,0,0
41,blue-collar,married,professional.course,unknown,unknown,yes,telephone,1,0,0,0
37,management,divorced,university.degree,no,no,no,cellular,1,0,0,0
41,blue-collar,married,unknown,unknown,unknown,no,telephone,1,0,0,0
43,technician,single,professional.course,unknown,unknown,unknown,cellular,3,0,0,0
53,blue-collar,married,basic.4y,unknown,unknown,no,telephone,4,1,0,0
32,admin.,married,university.degree,no,unknown,unknown,cellular,2,0,0,0
25,services,single,high.school,no,unknown,yes,telephone,2,0,0,0
25,blue-collar,married,high.school,no,no,yes,telephone,1,0,0,0
40,self-employed,married,high.school,unknown,unknown,no,telephone,2,0,0,0
56,services,married,high.school,unknown,no,yes,cellular,1,0,0,0
29,technician,married,unknown,no,unknown,no,cellular,1,0,0,0
29,technician,single,basic.9y,no,unknown,no,cellular,1,0,0,0
48,blue-collar,single,basic.9y,no,unknown,no,cellular,1,0,0,0
34,blue-collar,single,basic.4y,no,unknown,yes,telephone,3,0,0,0
41,blue-collar,married,professional.course,no,unknown,no,cellular,3,0,0,0
41,blue-collar,married,basic.4y,no,yes,no,telephone,2,0,0,0
46,housemaid,married,basic.4y,no,no,no,telephone,2,1,0,0
47,admin.,married,basic.9y,no,unknown,no,telephone,1,0,0,0
44,services,divorced,high.school,no,unknown,unknown,telephone,3,0,0,0
31,technician,single,basic.9y,no,unknown,no,cellular,2,0,0,0
32,admin.,single,university.degree,no,yes,no,cellular,2,0,0,0
55,entrepreneur,married,professional.course,unknown,yes,no,cellular,2,0,0,0
46,technician,divorced,university.degree,unknown,yes,no,telephone,4,1,0,0
32,technician,married,professional.course,no,unknown,unknown,cellular,2,0,0,0
25,admin.,married,high.school,unknown,unknown,no,telephone,18,0,0,0
36,blue-collar,married,basic.9y,unknown,unknown,no,cellular,1,0,0,0
52,technician,married,professional.course,no,unknown,no,telephone,11,0,0,0
37,blue-collar,divorced,basic.9y,unknown,unknown,no,telephone,2,0,0,0
68,retired,divorced,professional.course,no,yes,no,cellular,2,1,0,0
54,admin.,divorced,university.degree,no,yes,no,cellular,2,0,0,0
43,entrepreneur,married,basic.4y,no,yes,no,telephone,1,0,0,0
53,technician,married,unknown,no,unknown,unknown,telephone,2,0,0,0
32,admin.,single,high.school,no,yes,no,cellular,1,1,0,0
48,services,married,high.school,no,unknown,no,cellular,1,0,0,0
26,unemployed,single,basic.9y,no,unknown,no,telephone,1,0,0,0
29,services,single,university.degree,no,no,no,cellular,1,0,0,0
24,technician,married,high.school,unknown,unknown,no,cellular,4,0,0,0
35,blue-collar,married,professional.course,no,yes,no,cellular,1,0,0,0
48,management,married,basic.9y,no,yes,no,telephone,2,0,0,0
25,student,single,high.school,no,yes,no,telephone,1,0,0,0
37,technician,married,university.degree,no,no,no,cellular,4,0,0,0
86,retired,married,unknown,unknown,unknown,yes,cellular,1,1,1,7
38,technician,married,university.degree,no,unknown,unknown,cellular,1,0,0,0
33,admin.,married,university.degree,no,yes,no,cellular,1,0,0,0
54,admin.,married,high.school,no,unknown,unknown,telephone,1,0,0,0
30,admin.,divorced,high.school,no,unknown,unknown,telephone,4,0,0,0
31,unemployed,single,high.school,no,yes,no,cellular,3,0,0,0
41,management,divorced,basic.6y,no,unknown,no,cellular,1,0,0,0
41,technician,single,university.degree,unknown,no,no,telephone,1,0,0,0
31,admin.,single,university.degree,no,unknown,no,cellular,3,0,0,0
28,admin.,married,high.school,no,no,no,telephone,5,0,0,0
45,blue-collar,married,basic.4y,unknown,unknown,yes,telephone,1,0,0,0
36,blue-collar,married,professional.course,unknown,unknown,no,telephone,2,0,0,0
29,admin.,single,university.degree,no,no,no,cellular,7,0,0,0
38,technician,married,university.degree,no,unknown,no,cellular,3,0,0,0
35,blue-collar,single,basic.4y,unknown,unknown,yes,cellular,2,0,0,0
55,retired,divorced,professional.course,no,unknown,unknown,telephone,3,0,0,0
30,technician,married,basic.9y,no,unknown,unknown,cellular,2,0,0,0
44,admin.,married,high.school,no,yes,yes,telephone,1,0,0,0
58,retired,married,professional.course,unknown,unknown,unknown,telephone,1,0,0,0
33,admin.,single,university.degree,no,yes,no,cellular,1,0,0,0
49,blue-collar,married,basic.9y,unknown,unknown,yes,cellular,4,0,0,0
47,technician,married,university.degree,no,unknown,no,cellular,2,0,0,0
47,admin.,single,high.school,no,yes,no,cellular,3,1,0,0
33,admin.,single,university.degree,no,no,yes,telephone,4,0,0,0
74,retired,married,university.degree,no,unknown,no,cellular,2,1,0,0
58,services,married,basic.4y,no,unknown,no,telephone,1,0,0,0
28,technician,married,university.degree,no,unknown,no,cellular,1,0,0,0
31,technician,single,professional.course,no,no,no,telephone,2,0,0,0
41,management,married,university.degree,unknown,yes,no,cellular,1,0,0,0
35,technician,single,university.degree,no,unknown,no,cellular,1,0,0,0
42,blue-collar,married,basic.4y,unknown,unknown,no,telephone,2,0,0,0
24,services,single,high.school,no,no,no,cellular,5,0,0,0
39,entrepreneur,married,basic.9y,no,unknown,no,cellular,2,0,0,0
25,admin.,married,high.school,no,yes,no,telephone,3,0,0,0
37,technician,married,basic.6y,no,unknown,no,telephone,1,0,0,0
47,management,divorced,university.degree,no,no,yes,telephone,1,0,0,0
40,management,married,university.degree,unknown,yes,no,telephone,2,0,0,0
45,admin.,married,university.degree,no,unknown,no,cellular,1,0,0,0
31,admin.,married,basic.9y,no,unknown,no,cellular,2,0,0,0
23,admin.,single,high.school,no,unknown,no,cellular,4,0,0,0
37,services,married,high.school,no,unknown,no,telephone,2,0,0,0
30,technician,single,professional.course,no,yes,yes,cellular,5,0,0,0
31,services,single,basic.6y,no,unknown,no,telephone,2,0,0,0
29,services,married,high.school,no,unknown,yes,telephone,4,0,0,0
32,technician,married,high.school,no,unknown,no,cellular,3,0,0,0
71,retired,divorced,basic.4y,no,yes,no,telephone,1,0,0,0
71,retired,married,basic.4y,no,unknown,no,telephone,1,0,0,0
52,entrepreneur,married,unknown,no,unknown,no,cellular,1,0,0,0
51,services,married,high.school,unknown,unknown,no,cellular,1,0,0,0
39,services,divorced,high.school,no,no,no,cellular,2,0,0,0
49,admin.,single,high.school,no,no,no,telephone,2,0,0,0
43,technician,divorced,professional.course,no,yes,unknown,cellular,3,0,0,0
34,services,divorced,high.school,no,unknown,yes,cellular,2,0,0,0
33,technician,single,basic.9y,no,unknown,unknown,cellular,3,0,0,0
59,retired,married,basic.4y,no,unknown,no,cellular,1,1,0,0
38,management,married,professional.course,unknown,unknown,no,cellular,3,0,0,0
46,admin.,single,high.school,no,no,no,cellular,3,0,0,0
39,technician,married,high.school,no,unknown,unknown,cellular,1,0,0,0
59,retired,married,unknown,no,unknown,no,cellular,2,0,0,0
40,admin.,married,university.degree,unknown,unknown,unknown,telephone,6,0,0,0
49,management,divorced,university.degree,no,unknown,no,cellular,5,0,0,0
48,blue-collar,married,professional.course,no,no,yes,telephone,4,0,0,0
