Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Age Group,WasContactedBefore,PreviouslyContacted
technician,single,high.school,no,yes,unknown,cellular,3,26-35,0,0
retired,married,unknown,no,unknown,unknown,telephone,3,56-65,0,0
self-employed,married,university.degree,no,yes,no,cellular,7,26-35,0,0
admin.,divorced,university.degree,unknown,no,no,cellular,6,46-55,0,0
technician,married,basic.9y,no,no,no,cellular,1,26-35,1,6
blue-collar,married,basic.4y,no,unknown,no,telephone,5,46-55,0,0
blue-collar,single,basic.4y,unknown,no,no,telephone,1,46-55,0,0
entrepreneur,married,basic.9y,no,unknown,yes,telephone,6,26-35,0,0
retired,married,professional.course,no,no,no,cellular,1,66+,0,0
blue-collar,married,university.degree,no,yes,no,cellular,1,26-35,0,0
self-employed,married,university.degree,no,unknown,no,cellular,10,26-35,0,0
blue-collar,married,basic.6y,no,unknown,no,telephone,3,26-35,0,0
admin.,single,high.school,no,unknown,no,cellular,2,26-35,0,0
unemployed,single,professional.course,no,unknown,no,telephone,12,26-35,0,0
services,divorced,high.school,no,unknown,yes,telephone,4,36-45,0,0
retired,single,high.school,no,unknown,no,telephone,1,56-65,0,0
admin.,divorced,university.degree,no,yes,no,telephone,7,56-65,0,0
technician,single,university.degree,no,unknown,no,cellular,1,26-35,0,0
admin.,single,university.degree,no,unknown,no,telephone,2,26-35,0,0
admin.,divorced,university.degree,unknown,unknown,no,telephone,1,46-55,0,0
services,divorced,basic.6y,no,unknown,no,cellular,2,36-45,0,0
technician,single,basic.9y,no,unknown,no,telephone,1,18-25,0,0
management,married,unknown,unknown,unknown,no,telephone,9,36-45,0,0
technician,single,professional.course,no,unknown,no,cellular,5,18-25,0,0
student,single,university.degree,unknown,unknown,no,telephone,3,26-35,0,0
management,married,basic.9y,no,unknown,yes,telephone,1,36-45,0,0
blue-collar,married,basic.9y,unknown,unknown,no,cellular,1,26-35,0,0
blue-collar,married,basic.6y,no,no,no,telephone,2,36-45,0,0
blue-collar,married,professional.course,no,yes,yes,telephone,1,46-55,0,0
admin.,married,university.degree,no,unknown,no,cellular,1,26-35,0,0
admin.,married,university.degree,no,unknown,yes,cellular,1,26-35,0,0
blue-collar,married,unknown,unknown,unknown,no,telephone,2,46-55,0,0
technician,divorced,university.degree,no,unknown,no,cellular,3,36-45,0,0
technician,single,professional.course,no,yes,no,cellular,8,26-35,0,0
admin.,single,high.school,no,no,yes,telephone,1,26-35,0,0
admin.,single,high.school,no,no,no,cellular,1,36-45,0,0
services,divorced,basic.9y,no,unknown,no,cellular,2,46-55,0,0
technician,single,professional.course,no,unknown,yes,cellular,1,26-35,0,0
admin.,married,high.school,no,unknown,no,telephone,18,36-45,0,0
blue-collar,single,basic.4y,unknown,unknown,unknown,telephone,1,26-35,0,0
housemaid,married,high.school,no,unknown,no,cellular,3,26-35,0,0
technician,single,professional.course,unknown,yes,no,telephone,7,36-45,0,0
admin.,divorced,university.degree,no,yes,no,cellular,3,36-45,0,0
admin.,single,university.degree,no,unknown,no,cellular,14,26-35,0,0
services,married,high.school,no,no,no,telephone,1,26-35,0,0
management,married,university.degree,no,no,no,telephone,1,36-45,0,0
admin.,married,high.school,no,yes,no,cellular,2,26-35,0,0
blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,2,36-45,0,0
admin.,married,basic.9y,no,unknown,yes,telephone,3,36-45,0,0
technician,married,professional.course,no,unknown,no,cellular,1,36-45,0,0
services,divorced,high.school,no,unknown,no,cellular,4,36-45,0,0
self-employed,married,university.degree,unknown,no,no,cellular,1,36-45,0,0
admin.,married,unknown,no,no,no,cellular,1,36-45,0,0
admin.,married,unknown,no,unknown,no,cellular,1,46-55,0,0
admin.,single,high.school,no,unknown,no,cellular,7,26-35,0,0
services,married,high.school,unknown,unknown,unknown,cellular,5,46-55,0,0
admin.,married,university.degree,unknown,unknown,no,cellular,6,46-55,0,0
blue-collar,married,basic.9y,no,unknown,no,telephone,4,26-35,0,0
admin.,married,university.degree,unknown,unknown,no,cellular,1,26-35,0,0
retired,married,basic.4y,no,yes,yes,telephone,2,56-65,0,0
services,single,unknown,no,no,yes,telephone,1,26-35,0,0
services,married,basic.4y,unknown,unknown,no,cellular,1,46-55,0,0
admin.,single,university.degree,no,unknown,unknown,cellular,6,36-45,0,0
unemployed,single,professional.course,no,unknown,no,cellular,1,18-25,0,0
housemaid,married,basic.4y,no,unknown,no,cellular,1,56-65,1,6
entrepreneur,divorced,university.degree,no,unknown,no,cellular,2,36-45,0,0
blue-collar,single,high.school,no,unknown,no,cellular,2,36-45,0,0
unemployed,divorced,basic.9y,no,unknown,no,telephone,6,46-55,0,0
entrepreneur,married,university.degree,no,unknown,yes,telephone,1,36-45,0,0
blue-collar,married,unknown,unknown,yes,no,cellular,5,56-65,0,0
entrepreneur,married,university.degree,no,unknown,no,cellular,2,46-55,0,0
technician,single,university.degree,no,unknown,no,cellular,1,36-45,0,0
blue-collar,married,unknown,no,yes,yes,cellular,1,36-45,0,0
retired,married,basic.4y,unknown,unknown,no,telephone,8,46-55,0,0
blue-collar,single,basic.9y,no,unknown,unknown,telephone,2,26-35,0,0
retired,married,basic.4y,no,unknown,no,cellular,1,46-55,1,3
admin.,married,university.degree,no,no,yes,telephone,1,56-65,0,0
admin.,married,university.degree,no,unknown,unknown,cellular,1,46-55,1,6
admin.,married,university.degree,no,no,no,cellular,1,36-45,0,0
technician,single,high.school,unknown,unknown,no,telephone,2,36-45,0,0
student,single,high.school,no,no,unknown,cellular,2,26-35,0,0
blue-collar,single,basic.9y,unknown,unknown,unknown,cellular,3,36-45,0,0
self-employed,married,professional.course,no,unknown,yes,telephone,1,56-65,0,0
housemaid,married,basic.4y,no,yes,no,cellular,2,46-55,0,0
admin.,single,university.degree,no,unknown,no,telephone,2,26-35,0,0
technician,single,basic.9y,no,unknown,no,telephone,2,26-35,0,0
entrepreneur,married,university.degree,no,no,no,telephone,2,36-45,0,0
entrepreneur,married,university.degree,no,no,no,telephone,1,26-35,0,0
technician,married,professional.course,no,unknown,no,cellular,1,36-45,0,0
self-employed,single,university.degree,no,no,no,telephone,2,26-35,0,0
services,married,unknown,no,no,no,telephone,2,26-35,0,0
retired,married,university.degree,no,unknown,no,telephone,4,66+,0,0
blue-collar,married,basic.4y,no,yes,unknown,cellular,2,26-35,0,0
management,married,university.degree,no,unknown,no,cellular,1,56-65,0,0
services,single,professional.course,no,unknown,no,cellular,3,36-45,0,0
blue-collar,single,basic.4y,no,unknown,no,telephone,1,36-45,0,0
services,married,basic.9y,unknown,unknown,no,telephone,3,46-55,0,0
admin.,single,university.degree,no,unknown,yes,telephone,3,26-35,0,0
blue-collar,married,basic.6y,unknown,yes,no,telephone,1,36-45,0,0
management,married,basic.9y,no,no,no,telephone,4,46-55,0,0
student,single,high.school,no,unknown,no,cellular,3,18-25,0,0
technician,single,university.degree,no,unknown,yes,cellular,3,18-25,0,0
technician,married,professional.course,no,yes,no,telephone,1,46-55,0,0
blue-collar,married,unknown,no,yes,unknown,cellular,1,36-45,0,0
technician,married,university.degree,no,unknown,no,cellular,2,46-55,0,0
housemaid,married,basic.4y,no,no,no,telephone,1,56-65,0,0
admin.,single,unknown,no,no,no,cellular,4,36-45,0,0
blue-collar,married,unknown,unknown,unknown,unknown,cellular,3,46-55,0,0
management,married,university.degree,no,yes,unknown,cellular,3,46-55,0,0
technician,married,professional.course,unknown,unknown,no,cellular,6,36-45,0,0
blue-collar,married,basic.6y,unknown,unknown,no,telephone,1,36-45,0,0
admin.,married,university.degree,no,unknown,yes,cellular,7,36-45,0,0
technician,married,unknown,no,unknown,no,telephone,1,46-55,0,0
technician,single,professional.course,no,unknown,yes,cellular,1,26-35,0,0
admin.,married,university.degree,no,unknown,no,cellular,3,56-65,0,0
self-employed,single,basic.9y,no,unknown,no,cellular,1,36-45,0,0
services,divorced,university.degree,no,unknown,unknown,cellular,2,26-35,0,0
admin.,divorced,high.school,no,unknown,yes,telephone,1,36-45,0,0
admin.,single,basic.6y,unknown,unknown,unknown,telephone,2,46-55,0,0
services,married,high.school,unknown,unknown,no,telephone,3,26-35,0,0
technician,single,university.degree,no,unknown,yes,cellular,2,26-35,0,0
blue-collar,married,basic.9y,unknown,unknown,unknown,cellular,3,36-45,0,0
technician,married,university.degree,no,unknown,no,cellular,1,26-35,0,0
housemaid,married,university.degree,no,unknown,no,telephone,1,26-35,0,0
technician,married,professional.course,no,yes,no,telephone,9,36-45,0,0
admin.,single,university.degree,no,unknown,no,telephone,2,26-35,0,0
technician,married,professional.course,no,yes,no,cellular,1,36-45,0,0
technician,single,professional.course,no,no,no,cellular,1,36-45,0,0
blue-collar,divorced,basic.9y,no,unknown,no,cellular,4,26-35,0,0
retired,married,university.degree,unknown,unknown,no,cellular,1,56-65,0,0
blue-collar,married,basic.4y,no,unknown,no,telephone,1,46-55,0,0
blue-collar,married,basic.6y,unknown,yes,no,cellular,1,36-45,0,0
management,married,university.degree,no,unknown,no,cellular,1,36-45,0,0
admin.,married,high.school,no,yes,no,cellular,1,36-45,1,2
management,married,university.degree,no,unknown,no,cellular,1,36-45,0,0
admin.,married,university.degree,no,no,no,cellular,1,26-35,0,0
technician,married,professional.course,no,no,yes,telephone,5,26-35,0,0
blue-collar,married,basic.4y,no,yes,no,cellular,5,56-65,0,0
services,divorced,university.degree,no,no,no,telephone,1,36-45,0,0
self-employed,divorced,unknown,no,unknown,no,telephone,2,56-65,0,0
retired,divorced,basic.4y,unknown,unknown,no,telephone,4,56-65,0,0
admin.,single,high.school,no,unknown,no,cellular,1,36-45,0,0
blue-collar,married,basic.6y,unknown,no,unknown,cellular,1,26-35,0,0
housemaid,married,high.school,no,yes,no,cellular,2,36-45,0,0
entrepreneur,married,basic.6y,no,unknown,no,cellular,1,36-45,0,0
retired,married,basic.9y,no,yes,no,cellular,1,66+,0,0
admin.,married,basic.6y,no,no,no,cellular,3,36-45,0,0
blue-collar,married,basic.6y,no,unknown,yes,cellular,3,26-35,0,0
blue-collar,single,basic.4y,no,yes,no,cellular,2,18-25,0,0
self-employed,single,university.degree,no,yes,no,cellular,1,26-35,0,0
student,single,basic.9y,no,no,yes,telephone,1,18-25,1,6
blue-collar,single,basic.6y,no,unknown,yes,cellular,1,36-45,0,0
admin.,divorced,high.school,no,yes,no,cellular,2,36-45,0,0
services,single,high.school,no,no,no,cellular,17,36-45,0,0
blue-collar,single,high.school,no,unknown,no,cellular,2,18-25,0,0
technician,single,high.school,no,yes,no,cellular,2,26-35,0,0
admin.,married,basic.9y,no,yes,no,telephone,2,18-25,0,0
management,divorced,university.degree,no,yes,no,cellular,4,36-45,0,0
blue-collar,married,professional.course,no,no,yes,telephone,2,46-55,0,0
management,married,university.degree,no,unknown,no,cellular,2,46-55,0,0
blue-collar,married,basic.6y,unknown,no,no,telephone,1,56-65,0,0
blue-collar,married,high.school,unknown,unknown,no,cellular,1,46-55,0,0
admin.,single,high.school,no,unknown,no,telephone,2,36-45,0,0
unemployed,single,university.degree,no,yes,no,cellular,2,26-35,0,0
technician,single,professional.course,no,unknown,no,cellular,1,36-45,0,0
technician,married,basic.9y,no,unknown,no,cellular,4,26-35,0,0
technician,married,professional.course,no,unknown,unknown,telephone,7,36-45,0,0
services,married,professional.course,no,unknown,no,telephone,1,46-55,0,0
housemaid,divorced,high.school,unknown,unknown,yes,cellular,5,36-45,0,0
services,married,high.school,no,unknown,no,cellular,1,26-35,1,5
student,single,high.school,no,no,no,telephone,1,26-35,0,0
services,married,high.school,no,unknown,no,cellular,1,26-35,0,0
technician,single,university.degree,no,unknown,no,telephone,2,26-35,0,0
services,single,basic.9y,no,unknown,unknown,cellular,4,26-35,0,0
blue-collar,married,basic.6y,unknown,no,no,cellular,5,46-55,0,0
technician,divorced,basic.9y,no,no,no,telephone,1,36-45,0,0
admin.,single,professional.course,no,unknown,no,telephone,2,26-35,0,0
retired,married,basic.6y,no,unknown,yes,cellular,1,56-65,0,0
blue-collar,married,unknown,no,unknown,no,telephone,3,56-65,0,0
services,married,high.school,no,yes,no,cellular,1,36-45,0,0
housemaid,married,high.school,no,no,no,telephone,2,26-35,0,0
technician,married,university.degree,no,unknown,no,cellular,4,46-55,0,0
admin.,single,university.degree,no,unknown,no,cellular,1,26-35,1,6
technician,single,professional.course,no,unknown,no,cellular,1,36-45,1,6
admin.,single,university.degree,no,no,no,cellular,1,26-35,0,0
admin.,married,university.degree,no,no,no,cellular,4,36-45,0,0
technician,single,university.degree,no,yes,yes,cellular,2,26-35,0,0
blue-collar,married,basic.9y,unknown,yes,no,cellular,4,26-35,0,0
technician,married,professional.course,unknown,unknown,no,telephone,2,46-55,0,0
blue-collar,married,basic.9y,no,unknown,no,cellular,2,46-55,0,0
admin.,married,university.degree,no,unknown,no,cellular,5,26-35,0,0
services,married,unknown,no,unknown,no,telephone,1,26-35,0,0
blue-collar,married,basic.4y,unknown,unknown,no,cellular,6,56-65,0,0
entrepreneur,married,high.school,no,yes,no,cellular,1,26-35,0,0
services,married,basic.4y,no,no,unknown,cellular,2,46-55,0,0
self-employed,married,high.school,no,yes,no,cellular,2,46-55,0,0
admin.,divorced,university.degree,no,yes,no,cellular,1,26-35,0,0
admin.,single,university.degree,no,yes,no,cellular,1,36-45,0,0
admin.,single,high.school,no,unknown,yes,telephone,26,26-35,0,0
technician,married,university.degree,no,unknown,no,cellular,1,26-35,0,0
services,married,high.school,no,unknown,no,telephone,3,36-45,0,0
admin.,single,high.school,no,unknown,no,cellular,1,26-35,0,0
services,divorced,high.school,no,unknown,no,telephone,2,56-65,0,0
technician,single,professional.course,unknown,unknown,no,telephone,2,26-35,0,0
admin.,married,university.degree,no,unknown,unknown,cellular,4,26-35,0,0
blue-collar,single,basic.4y,no,yes,no,cellular,4,26-35,0,0
blue-collar,married,basic.9y,unknown,unknown,no,telephone,2,46-55,0,0
technician,married,professional.course,unknown,no,no,cellular,1,46-55,0,0
admin.,single,university.degree,unknown,unknown,no,telephone,1,36-45,0,0
student,single,basic.9y,no,no,yes,cellular,1,18-25,0,0
blue-collar,single,basic.9y,unknown,unknown,unknown,telephone,3,36-45,0,0
admin.,married,university.degree,no,unknown,no,cellular,1,36-45,0,0
services,married,unknown,unknown,unknown,no,telephone,2,46-55,0,0
retired,married,high.school,no,no,no,cellular,1,56-65,0,0
unemployed,married,university.degree,no,unknown,no,cellular,7,46-55,0,0
admin.,single,university.degree,no,unknown,no,cellular,1,26-35,0,0
blue-collar,single,basic.9y,no,unknown,no,cellular,2,36-45,0,0
admin.,married,university.degree,no,unknown,no,cellular,5,46-55,0,0
technician,married,high.school,no,yes,no,cellular,1,46-55,0,0
unknown,married,unknown,no,no,no,telephone,3,66+,0,0
blue-collar,married,basic.9y,unknown,unknown,no,cellular,1,46-55,0,0
technician,married,professional.course,no,no,no,telephone,1,46-55,0,0
entrepreneur,single,basic.4y,no,no,no,cellular,1,36-45,0,0
housemaid,single,university.degree,unknown,yes,unknown,cellular,4,26-35,0,0
retired,married,unknown,no,yes,no,cellular,3,56-65,0,0
retired,single,basic.9y,no,unknown,no,cellular,8,26-35,0,0
technician,divorced,university.degree,unknown,unknown,no,cellular,12,56-65,0,0
technician,single,professional.course,no,yes,unknown,cellular,1,26-35,0,0
admin.,single,high.school,no,unknown,no,cellular,1,26-35,0,0
admin.,single,university.degree,no,unknown,yes,telephone,1,26-35,0,0
admin.,married,university.degree,no,unknown,no,cellular,2,36-45,0,0
technician,married,university.degree,no,unknown,unknown,cellular,1,26-35,0,0
services,single,basic.6y,no,unknown,unknown,cellular,1,46-55,0,0
blue-collar,married,basic.9y,unknown,yes,no,cellular,1,36-45,0,0
blue-collar,married,high.school,unknown,unknown,no,cellular,3,36-45,0,0
admin.,single,university.degree,no,unknown,yes,telephone,4,36-45,0,0
self-employed,married,high.school,unknown,yes,no,cellular,1,36-45,0,0
blue-collar,married,basic.4y,unknown,unknown,yes,telephone,1,36-45,0,0
blue-collar,married,basic.9y,unknown,no,no,cellular,6,46-55,0,0
admin.,divorced,university.degree,no,unknown,no,telephone,2,26-35,0,0
management,married,basic.9y,no,unknown,yes,cellular,9,46-55,0,0
blue-collar,married,basic.9y,no,unknown,yes,cellular,1,36-45,0,0
student,single,basic.9y,no,no,yes,cellular,1,18-25,0,0
services,divorced,high.school,unknown,no,no,telephone,1,36-45,0,0
housemaid,married,basic.9y,unknown,no,unknown,cellular,16,36-45,0,0
admin.,single,university.degree,no,unknown,no,cellular,3,26-35,0,0
blue-collar,married,basic.4y,unknown,no,no,cellular,3,46-55,0,0
services,single,university.degree,no,unknown,unknown,cellular,2,26-35,0,0
student,single,basic.4y,no,no,no,cellular,1,18-25,0,0
admin.,divorced,university.degree,no,unknown,yes,cellular,3,46-55,0,0
technician,single,professional.course,no,unknown,no,telephone,1,36-45,0,0
blue-collar,married,basic.9y,no,unknown,no,telephone,1,36-45,0,0
management,divorced,university.degree,unknown,unknown,no,telephone,3,36-45,0,0
services,married,high.school,no,yes,unknown,telephone,1,36-45,0,0
technician,married,high.school,no,unknown,no,cellular,3,26-35,0,0
unemployed,married,university.degree,no,no,no,cellular,5,26-35,0,0
unemployed,married,professional.course,no,yes,no,telephone,3,26-35,0,0
technician,single,professional.course,no,no,yes,cellular,4,26-35,0,0
services,married,high.school,no,no,yes,telephone,1,26-35,0,0
admin.,single,university.degree,no,unknown,no,telephone,1,26-35,0,0
management,single,basic.9y,unknown,unknown,no,cellular,2,36-45,0,0
student,single,high.school,no,no,no,cellular,3,26-35,0,0
blue-collar,married,basic.9y,no,no,no,cellular,2,56-65,0,0
admin.,married,basic.9y,unknown,yes,no,telephone,1,36-45,0,0
technician,single,basic.6y,unknown,no,no,telephone,1,36-45,0,0
blue-collar,married,basic.9y,unknown,unknown,no,cellular,2,26-35,0,0
admin.,single,unknown,no,yes,no,cellular,2,26-35,0,0
student,single,professional.course,no,yes,yes,cellular,1,26-35,0,0
admin.,married,university.degree,unknown,yes,no,cellular,3,46-55,0,0
admin.,married,university.degree,no,unknown,unknown,cellular,3,26-35,0,0
services,single,high.school,no,unknown,no,cellular,1,26-35,0,0
blue-collar,single,high.school,no,unknown,no,cellular,1,26-35,0,0
technician,single,high.school,no,unknown,no,telephone,1,36-45,0,0
technician,married,professional.course,unknown,unknown,no,telephone,7,56-65,0,0
retired,married,basic.9y,unknown,unknown,no,telephone,1,46-55,0,0
unknown,married,high.school,unknown,unknown,no,telephone,3,46-55,0,0
self-employed,married,university.degree,no,unknown,unknown,telephone,2,46-55,0,0
blue-collar,single,unknown,no,yes,yes,cellular,3,36-45,0,0
unemployed,married,high.school,no,yes,no,cellular,1,36-45,0,0
retired,married,basic.4y,unknown,unknown,no,cellular,3,56-65,0,0
management,married,university.degree,no,unknown,no,telephone,13,46-55,0,0
technician,single,professional.course,no,yes,no,telephone,4,36-45,0,0
technician,married,professional.course,no,unknown,unknown,cellular,1,46-55,0,0
services,single,high.school,no,no,no,cellular,3,46-55,0,0
management,married,university.degree,no,unknown,no,cellular,1,36-45,0,0
management,married,university.degree,no,unknown,no,cellular,2,36-45,0,0
admin.,single,high.school,no,yes,no,cellular,3,26-35,0,0
blue-collar,married,basic.4y,no,yes,no,cellular,1,36-45,0,0
services,married,high.school,no,unknown,unknown,cellular,2,36-45,0,0
admin.,single,basic.9y,no,unknown,no,telephone,1,26-35,0,0
retired,married,basic.4y,no,unknown,no,telephone,1,56-65,0,0
management,married,university.degree,no,unknown,no,cellular,1,26-35,0,0
blue-collar,married,basic.4y,no,unknown,no,telephone,1,46-55,0,0
blue-collar,single,professional.course,no,unknown,no,telephone,3,26-35,0,0
blue-collar,married,basic.4y,no,yes,no,telephone,1,36-45,0,0
services,married,high.school,unknown,no,unknown,telephone,2,56-65,0,0
self-employed,married,basic.4y,unknown,unknown,no,cellular,4,36-45,0,0
services,married,professional.course,no,no,yes,cellular,7,46-55,0,0
retired,married,basic.4y,no,yes,no,cellular,1,66+,1,7
entrepreneur,married,high.school,no,unknown,no,telephone,3,26-35,0,0
student,single,high.school,no,unknown,yes,cellular,4,18-25,0,0
technician,divorced,high.school,no,no,yes,cellular,1,46-55,0,0
entrepreneur,single,university.degree,no,unknown,no,cellular,5,36-45,0,0
technician,married,university.degree,no,unknown,no,cellular,1,26-35,0,0
blue-collar,married,basic.9y,no,unknown,no,cellular,2,46-55,0,0
technician,single,professional.course,no,unknown,no,telephone,3,26-35,0,0
blue-collar,married,high.school,no,unknown,no,cellular,2,26-35,0,0
blue-collar,single,high.school,no,unknown,unknown,cellular,5,26-35,0,0
services,divorced,high.school,no,unknown,no,cellular,1,26-35,0,0
blue-collar,married,basic.9y,no,yes,no,cellular,6,36-45,0,0
student,single,professional.course,no,unknown,no,telephone,2,26-35,0,0
retired,married,university.degree,no,unknown,yes,cellular,2,56-65,0,0
technician,married,professional.course,no,unknown,no,telephone,2,36-45,0,0
blue-collar,married,basic.9y,no,unknown,no,telephone,1,36-45,0,0
technician,single,high.school,no,unknown,no,cellular,2,46-55,0,0
blue-collar,married,basic.9y,no,no,no,telephone,1,36-45,0,0
admin.,married,high.school,no,no,no,telephone,1,26-35,0,0
services,married,basic.9y,no,unknown,unknown,telephone,35,36-45,0,0
retired,married,high.school,no,unknown,no,cellular,1,56-65,1,4
retired,married,basic.9y,unknown,yes,no,cellular,2,46-55,0,0
admin.,single,basic.6y,unknown,unknown,no,telephone,7,36-45,0,0
retired,married,basic.4y,unknown,yes,no,telephone,1,46-55,0,0
services,married,university.degree,unknown,unknown,yes,telephone,2,26-35,0,0
blue-collar,married,basic.9y,no,unknown,no,telephone,3,26-35,0,0
services,married,professional.course,no,unknown,no,cellular,7,26-35,0,0
admin.,single,university.degree,no,unknown,yes,cellular,1,26-35,0,0
services,married,professional.course,no,unknown,unknown,cellular,2,36-45,0,0
management,married,basic.6y,no,unknown,yes,cellular,1,36-45,0,0
technician,married,professional.course,no,no,no,telephone,1,46-55,0,0
student,single,unknown,no,unknown,no,telephone,1,18-25,1,3
services,married,basic.9y,unknown,unknown,no,cellular,2,46-55,0,0
technician,married,university.degree,no,unknown,unknown,telephone,3,26-35,0,0
admin.,single,university.degree,no,yes,no,cellular,2,26-35,0,0
blue-collar,divorced,basic.4y,no,no,unknown,telephone,1,36-45,0,0
blue-collar,single,high.school,no,unknown,no,cellular,2,26-35,0,0
student,single,university.degree,no,unknown,no,telephone,3,26-35,0,0
unknown,married,high.school,unknown,unknown,no,cellular,6,46-55,0,0
management,single,university.degree,no,unknown,no,telephone,6,46-55,0,0
admin.,married,basic.9y,no,yes,no,telephone,1,36-45,0,0
admin.,single,university.degree,no,yes,unknown,telephone,2,26-35,0,0
admin.,married,high.school,no,no,yes,telephone,2,26-35,0,0
admin.,married,university.degree,no,unknown,yes,cellular,1,56-65,0,0
technician,single,professional.course,no,unknown,no,telephone,2,36-45,0,0
technician,married,professional.course,no,unknown,yes,telephone,1,46-55,0,0
housemaid,married,basic.6y,no,unknown,no,cellular,1,36-45,0,0
admin.,single,basic.9y,no,yes,yes,cellular,2,36-45,0,0
blue-collar,married,basic.4y,unknown,yes,yes,cellular,2,46-55,0,0
services,divorced,high.school,unknown,no,no,telephone,5,46-55,0,0
admin.,single,professional.course,no,unknown,yes,cellular,4,26-35,0,0
technician,married,professional.course,no,no,no,telephone,2,26-35,0,0
admin.,single,university.degree,no,yes,no,cellular,4,26-35,0,0
blue-collar,married,unknown,unknown,unknown,no,cellular,3,46-55,0,0
unemployed,married,basic.9y,no,yes,yes,telephone,3,36-45,0,0
blue-collar,married,basic.9y,no,unknown,no,cellular,2,36-45,0,0
student,single,high.school,no,unknown,no,cellular,1,18-25,0,0
admin.,married,university.degree,no,yes,no,cellular,2,26-35,0,0
services,divorced,basic.4y,no,unknown,no,telephone,1,18-25,0,0
services,married,unknown,no,unknown,no,cellular,1,46-55,0,0
