Client ID,Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Subscription Status,WasContactedBefore,PreviouslyContacted,Age Group
14051,self-employed,divorced,professional.course,no,unknown,no,cellular,2,yes,0,0,36–45
10836,blue-collar,single,high.school,no,unknown,no,telephone,1,yes,0,0,36–45
11043,services,single,high.school,no,unknown,no,telephone,2,no,0,0,26–35
23686,admin.,single,university.degree,no,yes,no,cellular,1,no,0,0,26–35
24426,blue-collar,married,basic.9y,no,yes,yes,cellular,1,no,0,0,26–35
8726,blue-collar,married,basic.6y,no,no,no,telephone,2,no,0,0,26–35
25810,management,married,university.degree,no,no,no,cellular,5,no,0,0,26–35
25000,entrepreneur,married,basic.9y,no,unknown,no,telephone,1,no,0,0,46–55
12663,blue-collar,married,unknown,unknown,unknown,no,cellular,3,no,0,0,36–45
41021,student,single,high.school,no,yes,no,cellular,1,yes,1,3,26–35
757,services,married,university.degree,no,yes,no,telephone,3,no,0,0,26–35
28063,blue-collar,married,basic.4y,unknown,yes,no,cellular,1,no,0,0,46–55
6315,retired,married,high.school,no,unknown,no,telephone,5,no,0,0,56–65
12358,blue-collar,married,basic.9y,no,yes,no,cellular,1,no,0,0,46–55
12516,admin.,married,high.school,no,unknown,no,cellular,1,no,0,0,36–45
23462,technician,married,professional.course,no,yes,no,cellular,9,no,0,0,36–45
6109,blue-collar,married,basic.9y,unknown,unknown,no,telephone,1,no,0,0,26–35
32669,technician,married,professional.course,no,unknown,no,cellular,1,yes,0,0,26–35
2465,blue-collar,married,basic.9y,unknown,unknown,no,telephone,1,no,0,0,36–45
33790,admin.,married,basic.9y,no,unknown,no,cellular,1,yes,1,10,16–25
15984,admin.,single,high.school,no,yes,no,telephone,3,no,0,0,16–25
12894,blue-collar,single,basic.6y,no,unknown,no,cellular,3,no,0,0,36–45
24130,technician,divorced,university.degree,no,unknown,no,cellular,1,no,0,0,46–55
27060,admin.,single,high.school,no,unknown,no,cellular,1,no,0,0,26–35
39197,admin.,divorced,university.degree,no,yes,unknown,cellular,2,yes,1,6,36–45
27102,admin.,single,university.degree,no,unknown,no,cellular,1,yes,0,0,36–45
27191,admin.,married,university.degree,no,unknown,yes,cellular,2,no,0,0,46–55
3420,blue-collar,married,basic.4y,no,unknown,unknown,telephone,3,no,0,0,46–55
40577,technician,single,professional.course,no,no,no,cellular,1,no,0,0,26–35
26279,management,married,university.degree,no,unknown,no,cellular,2,no,0,0,36–45
38247,retired,married,university.degree,no,unknown,yes,cellular,1,yes,0,0,66+
2991,services,single,high.school,unknown,unknown,no,telephone,5,no,0,0,36–45
37778,retired,married,university.degree,no,yes,no,cellular,1,no,0,0,56–65
18429,admin.,married,high.school,unknown,no,yes,telephone,5,no,0,0,46–55
26096,entrepreneur,married,university.degree,no,unknown,no,cellular,2,no,0,0,36–45
32715,entrepreneur,married,professional.course,unknown,unknown,no,cellular,1,no,0,0,46–55
18184,admin.,married,high.school,no,unknown,no,cellular,13,no,0,0,36–45
217,blue-collar,single,unknown,no,unknown,no,telephone,1,no,0,0,26–35
13329,admin.,married,university.degree,no,yes,no,telephone,2,no,0,0,26–35
25603,services,divorced,high.school,no,unknown,no,cellular,1,no,0,0,36–45
3446,blue-collar,single,basic.4y,unknown,unknown,no,telephone,4,no,0,0,36–45
33318,management,married,high.school,unknown,yes,unknown,cellular,2,no,0,0,36–45
13283,admin.,married,high.school,no,unknown,no,cellular,1,no,0,0,36–45
3271,blue-collar,single,basic.4y,no,unknown,no,telephone,2,no,0,0,46–55
34280,services,married,high.school,no,yes,no,cellular,1,no,0,0,26–35
34152,blue-collar,married,basic.4y,no,unknown,yes,cellular,2,no,0,0,56–65
18144,services,single,basic.9y,no,unknown,no,cellular,1,no,0,0,26–35
26518,management,married,high.school,no,unknown,no,cellular,1,no,0,0,46–55
27442,management,married,high.school,no,unknown,no,cellular,4,no,0,0,36–45
41032,student,single,high.school,no,yes,no,cellular,1,no,1,6,26–35
25159,admin.,divorced,basic.9y,no,no,no,cellular,1,no,0,0,36–45
26622,unemployed,single,professional.course,no,unknown,no,cellular,1,no,0,0,26–35
8232,blue-collar,married,basic.9y,no,unknown,no,telephone,4,no,0,0,36–45
28108,management,divorced,university.degree,no,yes,no,cellular,1,no,0,0,36–45
11012,admin.,married,basic.6y,no,unknown,no,telephone,3,no,0,0,36–45
533,blue-collar,married,basic.6y,no,no,no,telephone,1,no,0,0,36–45
11512,retired,divorced,university.degree,no,unknown,no,telephone,4,no,0,0,56–65
22237,admin.,single,high.school,no,yes,no,cellular,3,yes,0,0,26–35
36853,housemaid,married,basic.4y,no,yes,no,cellular,2,yes,0,0,46–55
38579,technician,married,basic.4y,no,yes,no,cellular,6,no,0,0,56–65
10647,admin.,divorced,university.degree,unknown,unknown,no,telephone,1,no,0,0,46–55
29823,entrepreneur,married,basic.9y,no,unknown,yes,telephone,5,no,0,0,46–55
16549,self-employed,divorced,university.degree,no,unknown,yes,cellular,2,no,0,0,46–55
28518,blue-collar,married,basic.9y,unknown,yes,no,cellular,4,no,0,0,46–55
17076,admin.,single,high.school,no,no,yes,cellular,1,no,0,0,36–45
6331,management,married,university.degree,no,unknown,unknown,telephone,2,no,0,0,26–35
29676,blue-collar,married,high.school,no,no,no,cellular,2,no,0,0,26–35
18295,admin.,married,unknown,no,yes,no,cellular,3,no,0,0,36–45
23559,technician,married,university.degree,no,yes,no,cellular,14,no,0,0,46–55
7946,admin.,married,high.school,unknown,yes,no,telephone,12,no,0,0,46–55
23679,technician,divorced,professional.course,no,unknown,no,cellular,1,no,0,0,46–55
11336,admin.,married,high.school,no,yes,no,telephone,2,no,0,0,36–45
730,technician,single,professional.course,no,unknown,no,telephone,2,no,0,0,16–25
20941,technician,married,university.degree,no,unknown,no,cellular,1,no,0,0,26–35
4169,technician,married,professional.course,no,yes,no,telephone,42,no,0,0,26–35
33961,housemaid,divorced,university.degree,no,unknown,no,cellular,1,no,0,0,36–45
4010,admin.,married,university.degree,no,unknown,unknown,telephone,1,no,0,0,36–45
22493,blue-collar,married,unknown,unknown,unknown,yes,cellular,1,no,0,0,46–55
6223,services,married,high.school,unknown,no,no,telephone,3,no,0,0,36–45
25750,services,married,high.school,no,unknown,no,cellular,1,no,0,0,36–45
15477,technician,married,university.degree,no,unknown,no,cellular,1,no,0,0,36–45
10017,entrepreneur,married,high.school,unknown,unknown,unknown,telephone,8,no,0,0,26–35
29960,blue-collar,married,basic.6y,no,unknown,yes,cellular,2,no,0,0,46–55
7475,technician,single,professional.course,unknown,yes,yes,telephone,1,no,0,0,16–25
13545,admin.,divorced,high.school,no,unknown,no,cellular,6,no,0,0,26–35
22980,admin.,married,university.degree,no,unknown,no,cellular,5,no,0,0,36–45
13322,blue-collar,married,basic.4y,unknown,no,yes,cellular,2,no,0,0,26–35
40191,admin.,married,university.degree,no,unknown,yes,cellular,5,no,0,0,46–55
40820,admin.,married,university.degree,no,unknown,no,cellular,2,yes,1,13,26–35
6066,blue-collar,single,basic.9y,no,no,no,telephone,2,no,0,0,46–55
22233,technician,single,university.degree,no,no,no,cellular,3,no,0,0,46–55
35081,admin.,married,high.school,no,yes,no,cellular,6,no,0,0,36–45
6913,blue-collar,single,basic.9y,no,unknown,no,telephone,1,no,0,0,46–55
858,blue-collar,married,professional.course,unknown,unknown,no,telephone,1,no,0,0,46–55
3291,blue-collar,married,basic.9y,unknown,yes,unknown,telephone,4,no,0,0,46–55
34534,blue-collar,single,basic.9y,no,no,no,cellular,2,no,0,0,26–35
14182,blue-collar,married,high.school,unknown,no,no,cellular,3,no,0,0,36–45
12006,technician,married,basic.9y,no,unknown,yes,telephone,3,no,0,0,46–55
4560,technician,married,unknown,no,unknown,no,telephone,2,no,0,0,36–45
22945,management,married,university.degree,no,no,no,cellular,2,no,0,0,56–65
5988,unemployed,married,professional.course,no,unknown,no,telephone,3,no,0,0,46–55
11807,blue-collar,married,unknown,unknown,no,yes,telephone,5,no,0,0,26–35
6246,admin.,single,university.degree,no,yes,no,telephone,3,no,0,0,26–35
16228,student,single,unknown,no,unknown,no,cellular,2,no,0,0,36–45
35752,admin.,single,high.school,no,no,no,cellular,3,no,0,0,36–45
10090,self-employed,married,unknown,unknown,unknown,yes,telephone,1,no,0,0,56–65
29633,services,married,basic.4y,no,yes,yes,cellular,1,no,0,0,56–65
37064,blue-collar,married,basic.6y,no,unknown,no,cellular,1,no,0,0,36–45
31441,admin.,married,university.degree,no,unknown,no,telephone,4,no,0,0,26–35
37494,retired,married,basic.6y,no,unknown,no,cellular,2,no,1,4,66+
23251,technician,divorced,professional.course,no,unknown,no,cellular,2,no,0,0,36–45
26916,admin.,married,high.school,no,unknown,no,cellular,2,no,0,0,26–35
25577,services,married,high.school,no,yes,no,cellular,1,no,0,0,46–55
40349,technician,single,university.degree,no,unknown,no,cellular,2,yes,0,0,36–45
36548,admin.,single,basic.9y,no,unknown,unknown,cellular,1,yes,0,0,46–55
33719,admin.,single,high.school,no,yes,no,cellular,1,yes,0,0,26–35
39441,admin.,married,university.degree,no,unknown,no,cellular,1,yes,0,0,36–45
27130,admin.,married,high.school,no,unknown,no,cellular,1,no,0,0,26–35
6113,self-employed,married,university.degree,no,unknown,yes,telephone,1,no,0,0,46–55
10330,admin.,single,basic.9y,unknown,unknown,no,telephone,2,no,0,0,26–35
4326,blue-collar,married,basic.9y,unknown,no,no,telephone,1,no,0,0,46–55
24080,management,married,university.degree,no,unknown,no,telephone,1,yes,0,0,36–45
19566,unemployed,divorced,university.degree,unknown,unknown,no,cellular,1,no,0,0,36–45
28925,admin.,married,basic.4y,no,unknown,no,cellular,1,no,0,0,56–65
2386,technician,single,professional.course,no,unknown,no,telephone,1,no,0,0,36–45
26750,services,married,high.school,no,no,unknown,cellular,1,no,0,0,26–35
27148,blue-collar,divorced,professional.course,no,yes,no,cellular,1,no,0,0,46–55
8279,management,married,university.degree,no,no,no,telephone,1,no,0,0,36–45
14006,admin.,married,high.school,no,unknown,no,cellular,2,no,0,0,36–45
37331,technician,married,professional.course,no,unknown,no,cellular,2,yes,0,0,56–65
24136,admin.,single,high.school,no,unknown,no,cellular,1,no,0,0,26–35
2758,blue-collar,married,basic.4y,no,unknown,no,telephone,2,no,0,0,46–55
8815,technician,single,professional.course,no,unknown,unknown,telephone,1,no,0,0,26–35
37796,technician,married,unknown,no,yes,no,cellular,1,no,0,0,56–65
26143,unemployed,married,basic.9y,no,unknown,no,cellular,2,no,0,0,46–55
3987,blue-collar,married,basic.4y,unknown,yes,unknown,telephone,4,no,0,0,46–55
26939,management,single,university.degree,no,no,no,cellular,3,yes,0,0,26–35
28910,entrepreneur,married,basic.9y,no,unknown,yes,cellular,1,no,0,0,46–55
9061,blue-collar,married,basic.6y,no,unknown,no,telephone,5,no,0,0,36–45
40630,services,single,high.school,no,unknown,yes,telephone,1,no,0,0,26–35
26891,technician,married,professional.course,no,no,no,cellular,3,no,0,0,36–45
19652,admin.,married,high.school,unknown,unknown,no,cellular,3,no,0,0,36–45
9268,blue-collar,married,basic.9y,unknown,unknown,no,telephone,1,no,0,0,36–45
28239,technician,married,basic.6y,no,no,no,cellular,3,no,0,0,36–45
30627,unemployed,married,high.school,no,no,no,cellular,5,no,1,3,46–55
25838,services,married,professional.course,no,unknown,no,cellular,1,no,0,0,26–35
24966,services,married,high.school,no,yes,no,cellular,1,no,0,0,46–55
15573,blue-collar,married,basic.9y,no,unknown,yes,telephone,5,no,0,0,36–45
18918,blue-collar,married,basic.9y,no,unknown,no,cellular,1,no,0,0,46–55
7776,services,married,high.school,unknown,unknown,unknown,telephone,7,no,0,0,36–45
658,management,married,university.degree,unknown,unknown,yes,telephone,2,no,0,0,56–65
23506,services,married,professional.course,no,unknown,no,cellular,5,no,0,0,26–35
21273,admin.,divorced,university.degree,no,no,no,cellular,2,no,0,0,46–55
14241,blue-collar,single,basic.9y,no,unknown,unknown,cellular,3,no,0,0,26–35
40468,blue-collar,married,basic.9y,no,unknown,no,cellular,1,yes,1,6,46–55
2831,blue-collar,married,basic.4y,unknown,yes,yes,telephone,1,no,0,0,46–55
944,blue-collar,married,basic.4y,unknown,unknown,no,telephone,2,no,0,0,56–65
4216,technician,married,professional.course,no,unknown,no,telephone,1,no,0,0,36–45
30157,admin.,single,high.school,no,unknown,no,cellular,1,no,0,0,16–25
23364,housemaid,married,basic.4y,no,unknown,yes,cellular,14,no,0,0,46–55
24388,technician,single,university.degree,no,no,no,cellular,1,no,0,0,26–35
14041,blue-collar,married,professional.course,no,unknown,unknown,cellular,5,no,0,0,16–25
14939,technician,married,high.school,unknown,unknown,no,cellular,2,no,0,0,36–45
25362,services,divorced,basic.9y,no,unknown,yes,cellular,6,no,0,0,36–45
26419,admin.,married,high.school,no,unknown,unknown,cellular,1,no,0,0,36–45
34294,services,divorced,high.school,no,no,no,cellular,1,no,0,0,36–45
23423,technician,single,professional.course,no,yes,no,cellular,3,no,0,0,26–35
37636,retired,married,basic.9y,no,unknown,no,cellular,1,yes,0,0,66+
9702,admin.,single,high.school,no,yes,no,telephone,2,no,0,0,26–35
15969,technician,married,professional.course,unknown,unknown,no,cellular,4,no,0,0,56–65
25442,admin.,married,university.degree,no,unknown,yes,cellular,3,no,0,0,26–35
6883,unemployed,married,high.school,no,yes,no,telephone,3,no,0,0,36–45
36539,technician,single,professional.course,no,yes,no,cellular,1,no,0,0,26–35
18393,technician,married,professional.course,no,unknown,no,cellular,3,no,0,0,36–45
36153,admin.,single,university.degree,no,unknown,no,cellular,1,yes,0,0,26–35
28782,admin.,married,professional.course,no,unknown,yes,cellular,5,yes,0,0,36–45
27942,admin.,single,high.school,no,no,no,telephone,2,yes,0,0,26–35
8202,student,single,university.degree,no,unknown,unknown,telephone,1,no,0,0,36–45
38616,self-employed,married,professional.course,no,yes,yes,cellular,1,yes,1,5,36–45
29651,retired,divorced,basic.4y,unknown,unknown,no,cellular,3,no,0,0,46–55
7761,entrepreneur,married,university.degree,unknown,unknown,no,telephone,2,no,0,0,16–25
17945,blue-collar,single,basic.9y,no,yes,no,telephone,11,yes,0,0,36–45
14423,admin.,single,university.degree,no,unknown,unknown,cellular,3,no,0,0,26–35
25101,self-employed,married,basic.4y,no,unknown,unknown,cellular,1,no,0,0,46–55
10862,technician,single,university.degree,unknown,no,no,telephone,2,no,0,0,26–35
37235,technician,married,university.degree,no,unknown,no,cellular,1,no,1,4,46–55
5383,services,single,high.school,no,no,no,telephone,4,no,0,0,26–35
35029,admin.,divorced,high.school,no,unknown,no,cellular,1,no,0,0,26–35
3862,blue-collar,divorced,basic.9y,no,unknown,no,telephone,3,no,0,0,36–45
34645,housemaid,single,high.school,no,yes,no,cellular,2,no,0,0,36–45
39221,admin.,single,university.degree,no,yes,no,cellular,1,yes,1,6,26–35
2762,housemaid,divorced,basic.6y,unknown,yes,unknown,telephone,5,no,0,0,36–45
3376,student,single,basic.4y,no,no,no,telephone,8,no,0,0,26–35
13271,technician,single,university.degree,no,no,yes,cellular,1,no,0,0,26–35
10031,services,married,high.school,no,yes,unknown,telephone,2,no,0,0,26–35
36045,admin.,divorced,professional.course,no,yes,no,cellular,1,no,0,0,46–55
33470,admin.,single,basic.9y,no,unknown,no,cellular,3,no,1,9,36–45
34182,self-employed,married,basic.9y,no,yes,no,cellular,2,no,0,0,26–35
23076,housemaid,married,basic.9y,no,unknown,no,cellular,1,no,0,0,46–55
24451,entrepreneur,married,high.school,no,unknown,no,cellular,2,no,0,0,36–45
41122,admin.,single,university.degree,no,unknown,no,cellular,3,no,0,0,46–55
31200,blue-collar,married,basic.4y,no,unknown,yes,cellular,4,no,0,0,26–35
40292,retired,divorced,basic.4y,no,no,yes,cellular,2,yes,1,6,66+
38160,admin.,married,high.school,no,unknown,no,cellular,1,no,1,4,36–45
24495,admin.,single,university.degree,no,yes,no,cellular,1,no,0,0,26–35
16955,blue-collar,single,high.school,unknown,no,no,cellular,3,no,0,0,36–45
24123,management,married,university.degree,no,yes,no,telephone,1,no,0,0,56–65
23337,admin.,married,university.degree,no,unknown,no,cellular,3,no,0,0,46–55
7916,technician,married,professional.course,no,unknown,no,telephone,1,no,0,0,36–45
37483,retired,married,university.degree,unknown,unknown,yes,cellular,2,no,0,0,56–65
31679,blue-collar,single,high.school,no,no,no,cellular,1,no,0,0,26–35
22783,housemaid,married,basic.4y,no,no,no,cellular,1,no,0,0,46–55
35221,technician,single,university.degree,no,no,yes,cellular,2,no,0,0,26–35
34067,services,single,basic.6y,no,unknown,yes,cellular,5,no,0,0,26–35
21100,technician,divorced,university.degree,unknown,unknown,no,cellular,3,no,0,0,36–45
15639,management,single,university.degree,no,unknown,no,telephone,3,no,0,0,26–35
38358,management,married,basic.4y,no,unknown,no,cellular,2,no,0,0,36–45
28020,blue-collar,married,basic.4y,unknown,unknown,yes,cellular,1,no,0,0,36–45
6137,blue-collar,single,basic.9y,no,yes,no,telephone,1,no,0,0,36–45
5908,technician,married,professional.course,no,yes,no,telephone,3,no,0,0,36–45
39823,blue-collar,married,basic.9y,no,no,no,cellular,1,no,0,0,46–55
19736,admin.,divorced,university.degree,no,yes,no,cellular,6,no,0,0,46–55
5708,entrepreneur,married,high.school,no,yes,yes,telephone,2,yes,0,0,36–45
12170,management,married,university.degree,no,no,no,telephone,1,no,0,0,56–65
11584,blue-collar,married,basic.9y,unknown,unknown,no,telephone,2,no,0,0,36–45
35931,admin.,single,university.degree,no,no,no,cellular,1,no,0,0,46–55
6391,technician,married,professional.course,no,unknown,unknown,telephone,5,no,0,0,36–45
35835,admin.,single,university.degree,no,no,no,cellular,1,yes,1,3,46–55
23085,technician,divorced,university.degree,no,unknown,no,cellular,1,no,0,0,56–65
24008,management,married,university.degree,no,unknown,no,telephone,1,no,0,0,36–45
25768,entrepreneur,divorced,university.degree,no,unknown,no,cellular,1,no,0,0,46–55
21188,admin.,single,university.degree,no,unknown,unknown,cellular,3,no,0,0,26–35
10184,admin.,married,basic.9y,unknown,unknown,no,telephone,2,no,0,0,36–45
16802,technician,married,professional.course,unknown,no,yes,cellular,1,no,0,0,46–55
1931,blue-collar,married,high.school,no,unknown,no,telephone,3,no,0,0,36–45
25077,management,married,university.degree,no,no,no,cellular,1,no,0,0,46–55
5002,blue-collar,single,high.school,no,yes,yes,telephone,2,no,0,0,36–45
11811,housemaid,married,basic.4y,unknown,unknown,no,telephone,4,no,0,0,36–45
30359,admin.,married,university.degree,no,yes,no,cellular,1,no,0,0,26–35
22232,management,married,university.degree,no,unknown,yes,cellular,2,no,0,0,26–35
3221,admin.,married,basic.6y,unknown,unknown,no,telephone,1,no,0,0,46–55
14155,entrepreneur,married,university.degree,no,unknown,no,cellular,3,no,0,0,36–45
31595,admin.,married,high.school,no,no,no,cellular,1,no,0,0,26–35
30880,blue-collar,married,basic.9y,no,unknown,no,cellular,1,no,0,0,36–45
40056,admin.,married,high.school,no,unknown,no,cellular,2,yes,1,15,36–45
3520,unemployed,single,university.degree,no,unknown,no,telephone,1,no,0,0,26–35
431,self-employed,divorced,university.degree,no,unknown,no,telephone,1,no,0,0,36–45
30592,technician,married,professional.course,no,unknown,yes,cellular,2,yes,0,0,56–65
29227,admin.,married,university.degree,unknown,yes,yes,cellular,2,no,0,0,46–55
12514,admin.,married,basic.9y,no,yes,no,cellular,1,no,0,0,46–55
39857,admin.,single,university.degree,no,unknown,no,cellular,1,yes,1,14,36–45
34221,management,married,university.degree,no,unknown,yes,cellular,9,no,0,0,26–35
17378,blue-collar,single,high.school,unknown,unknown,no,cellular,2,yes,0,0,36–45
12585,technician,married,unknown,unknown,unknown,no,cellular,2,no,0,0,46–55
18839,technician,married,university.degree,no,unknown,no,cellular,1,no,0,0,36–45
18482,services,married,high.school,no,unknown,no,telephone,1,no,0,0,36–45
1504,blue-collar,single,basic.9y,unknown,unknown,no,telephone,2,no,0,0,36–45
15918,admin.,married,university.degree,no,yes,no,cellular,2,no,0,0,56–65
20022,technician,divorced,university.degree,no,unknown,yes,cellular,2,no,0,0,36–45
13788,admin.,married,high.school,no,unknown,unknown,cellular,4,no,0,0,36–45
29519,technician,married,professional.course,no,unknown,yes,cellular,1,no,0,0,36–45
38538,unknown,single,university.degree,no,unknown,no,telephone,1,no,0,0,26–35
37790,admin.,divorced,high.school,no,unknown,no,cellular,1,yes,1,6,46–55
26703,services,single,university.degree,unknown,unknown,no,cellular,2,no,0,0,36–45
31777,services,single,high.school,no,unknown,unknown,cellular,1,no,0,0,26–35
12354,blue-collar,divorced,basic.4y,no,unknown,no,telephone,1,no,0,0,26–35
29526,technician,single,university.degree,no,no,yes,cellular,1,no,0,0,26–35
39497,retired,divorced,high.school,no,yes,no,cellular,2,no,0,0,56–65
34957,admin.,married,university.degree,no,unknown,no,cellular,1,no,0,0,26–35
21256,technician,single,professional.course,no,yes,unknown,cellular,2,no,0,0,26–35
12725,technician,married,professional.course,no,unknown,no,telephone,17,no,0,0,26–35
3716,admin.,married,high.school,no,yes,no,telephone,2,no,0,0,16–25
38589,retired,married,basic.4y,unknown,unknown,no,cellular,1,no,0,0,56–65
29664,blue-collar,married,basic.9y,no,unknown,no,cellular,1,no,0,0,26–35
1078,admin.,single,university.degree,no,unknown,no,telephone,1,no,0,0,26–35
6189,admin.,married,high.school,no,unknown,no,telephone,1,no,0,0,56–65
28897,technician,married,professional.course,no,no,no,cellular,2,no,0,0,26–35
32047,blue-collar,married,basic.4y,no,no,no,cellular,2,no,0,0,36–45
32316,blue-collar,married,basic.4y,no,yes,no,cellular,1,no,0,0,46–55
28383,services,married,basic.9y,no,yes,no,cellular,1,no,0,0,36–45
12080,blue-collar,married,professional.course,unknown,unknown,yes,telephone,1,no,0,0,36–45
31793,management,divorced,university.degree,no,no,no,cellular,1,no,0,0,36–45
8,blue-collar,married,unknown,unknown,unknown,no,telephone,1,no,0,0,36–45
26843,technician,single,professional.course,unknown,unknown,unknown,cellular,3,no,0,0,36–45
19061,blue-collar,married,basic.4y,unknown,unknown,no,telephone,4,yes,0,0,46–55
37701,admin.,married,university.degree,no,unknown,unknown,cellular,2,no,0,0,26–35
8719,services,single,high.school,no,unknown,yes,telephone,2,no,0,0,26–35
8562,blue-collar,married,high.school,no,no,yes,telephone,1,no,0,0,26–35
3929,self-employed,married,high.school,unknown,unknown,no,telephone,2,no,0,0,36–45
16811,services,married,high.school,unknown,no,yes,cellular,1,no,0,0,56–65
13832,technician,married,unknown,no,unknown,no,cellular,1,no,0,0,26–35
25544,technician,single,basic.9y,no,unknown,no,cellular,1,no,0,0,26–35
28473,blue-collar,single,basic.9y,no,unknown,no,cellular,1,no,0,0,46–55
2625,blue-collar,single,basic.4y,no,unknown,yes,telephone,3,no,0,0,26–35
29911,blue-collar,married,professional.course,no,unknown,no,cellular,3,no,0,0,36–45
9759,blue-collar,married,basic.4y,no,yes,no,telephone,2,no,0,0,36–45
4852,housemaid,married,basic.4y,no,no,no,telephone,2,yes,0,0,46–55
7030,admin.,married,basic.9y,no,unknown,no,telephone,1,no,0,0,46–55
10478,services,divorced,high.school,no,unknown,unknown,telephone,3,no,0,0,36–45
14112,technician,single,basic.9y,no,unknown,no,cellular,2,no,0,0,26–35
25229,admin.,single,university.degree,no,yes,no,cellular,2,no,0,0,26–35
13907,entrepreneur,married,professional.course,unknown,yes,no,cellular,2,no,0,0,56–65
17148,technician,divorced,university.degree,unknown,yes,no,telephone,4,yes,0,0,46–55
22614,technician,married,professional.course,no,unknown,unknown,cellular,2,no,0,0,26–35
11343,admin.,married,high.school,unknown,unknown,no,telephone,18,no,0,0,26–35
13526,blue-collar,married,basic.9y,unknown,unknown,no,cellular,1,no,0,0,36–45
5823,technician,married,professional.course,no,unknown,no,telephone,11,no,0,0,46–55
9799,blue-collar,divorced,basic.9y,unknown,unknown,no,telephone,2,no,0,0,36–45
38510,retired,divorced,professional.course,no,yes,no,cellular,2,yes,0,0,66+
24874,admin.,divorced,university.degree,no,yes,no,cellular,2,no,0,0,46–55
6989,entrepreneur,married,basic.4y,no,yes,no,telephone,1,no,0,0,36–45
11923,technician,married,unknown,no,unknown,unknown,telephone,2,no,0,0,46–55
36339,admin.,single,high.school,no,yes,no,cellular,1,yes,0,0,26–35
22111,services,married,high.school,no,unknown,no,cellular,1,no,0,0,46–55
2993,unemployed,single,basic.9y,no,unknown,no,telephone,1,no,0,0,26–35
17135,services,single,university.degree,no,no,no,cellular,1,no,0,0,26–35
16597,technician,married,high.school,unknown,unknown,no,cellular,4,no,0,0,16–25
35543,blue-collar,married,professional.course,no,yes,no,cellular,1,no,0,0,36–45
9286,management,married,basic.9y,no,yes,no,telephone,2,no,0,0,46–55
41049,student,single,high.school,no,yes,no,telephone,1,no,0,0,26–35
23390,technician,married,university.degree,no,no,no,cellular,4,no,0,0,36–45
40719,retired,married,unknown,unknown,unknown,yes,cellular,1,yes,1,7,66+
31694,technician,married,university.degree,no,unknown,unknown,cellular,1,no,0,0,36–45
41162,admin.,married,university.degree,no,yes,no,cellular,1,no,0,0,26–35
6661,admin.,married,high.school,no,unknown,unknown,telephone,1,no,0,0,46–55
31419,admin.,divorced,high.school,no,unknown,unknown,telephone,4,no,0,0,26–35
39929,unemployed,single,high.school,no,yes,no,cellular,3,no,0,0,26–35
26863,management,divorced,basic.6y,no,unknown,no,cellular,1,no,0,0,36–45
