Client ID,Age,Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Previous Contact Days,Subscription Status
33961,38,housemaid,divorced,university.degree,no,unknown,no,cellular,1,999,no
4010,35,admin.,married,university.degree,no,unknown,unknown,telephone,1,999,no
22493,54,blue-collar,married,unknown,unknown,unknown,yes,cellular,1,999,no
6223,36,services,married,high.school,unknown,no,no,telephone,3,999,no
25750,44,services,married,high.school,no,unknown,no,cellular,1,999,no
15477,35,technician,married,university.degree,no,unknown,no,cellular,1,999,no
10017,32,entrepreneur,married,high.school,unknown,unknown,unknown,telephone,8,999,no
29960,53,blue-collar,married,basic.6y,no,unknown,yes,cellular,2,999,no
7475,24,technician,single,professional.course,unknown,yes,yes,telephone,1,999,no
13545,31,admin.,divorced,high.school,no,unknown,no,cellular,6,999,no
22980,44,admin.,married,university.degree,no,unknown,no,cellular,5,999,no
13322,28,blue-collar,married,basic.4y,unknown,no,yes,cellular,2,999,no
40191,54,admin.,married,university.degree,no,unknown,yes,cellular,5,999,no
40820,31,admin.,married,university.degree,no,unknown,no,cellular,2,13,yes
6066,45,blue-collar,single,basic.9y,no,no,no,telephone,2,999,no
22233,45,technician,single,university.degree,no,no,no,cellular,3,999,no
35081,37,admin.,married,high.school,no,yes,no,cellular,6,999,no
6913,47,blue-collar,single,basic.9y,no,unknown,no,telephone,1,999,no
858,47,blue-collar,married,professional.course,unknown,unknown,no,telephone,1,999,no
3291,47,blue-collar,married,basic.9y,unknown,yes,unknown,telephone,4,999,no
34534,26,blue-collar,single,basic.9y,no,no,no,cellular,2,999,no
14182,38,blue-collar,married,high.school,unknown,no,no,cellular,3,999,no
12006,52,technician,married,basic.9y,no,unknown,yes,telephone,3,999,no
4560,43,technician,married,unknown,no,unknown,no,telephone,2,999,no
22945,59,management,married,university.degree,no,no,no,cellular,2,999,no
5988,51,unemployed,married,professional.course,no,unknown,no,telephone,3,999,no
11807,29,blue-collar,married,unknown,unknown,no,yes,telephone,5,999,no
6246,34,admin.,single,university.degree,no,yes,no,telephone,3,999,no
16228,37,student,single,unknown,no,unknown,no,cellular,2,999,no
35752,38,admin.,single,high.school,no,no,no,cellular,3,999,no
10090,55,self-employed,married,unknown,unknown,unknown,yes,telephone,1,999,no
29633,56,services,married,basic.4y,no,yes,yes,cellular,1,999,no
37064,42,blue-collar,married,basic.6y,no,unknown,no,cellular,1,999,no
31441,34,admin.,married,university.degree,no,unknown,no,telephone,4,999,no
37494,81,retired,married,basic.6y,no,unknown,no,cellular,2,4,no
23251,44,technician,divorced,professional.course,no,unknown,no,cellular,2,999,no
26916,30,admin.,married,high.school,no,unknown,no,cellular,2,999,no
25577,47,services,married,high.school,no,yes,no,cellular,1,999,no
40349,37,technician,single,university.degree,no,unknown,no,cellular,2,999,yes
36548,50,admin.,single,basic.9y,no,unknown,unknown,cellular,1,999,yes
33719,31,admin.,single,high.school,no,yes,no,cellular,1,999,yes
39441,35,admin.,married,university.degree,no,unknown,no,cellular,1,999,yes
27130,29,admin.,married,high.school,no,unknown,no,cellular,1,999,no
6113,53,self-employed,married,university.degree,no,unknown,yes,telephone,1,999,no
10330,29,admin.,single,basic.9y,unknown,unknown,no,telephone,2,999,no
4326,45,blue-collar,married,basic.9y,unknown,no,no,telephone,1,999,no
24080,39,management,married,university.degree,no,unknown,no,telephone,1,999,yes
19566,41,unemployed,divorced,university.degree,unknown,unknown,no,cellular,1,999,no
28925,55,admin.,married,basic.4y,no,unknown,no,cellular,1,999,no
2386,41,technician,single,professional.course,no,unknown,no,telephone,1,999,no
26750,30,services,married,high.school,no,no,unknown,cellular,1,999,no
27148,50,blue-collar,divorced,professional.course,no,yes,no,cellular,1,999,no
8279,37,management,married,university.degree,no,no,no,telephone,1,999,no
14006,35,admin.,married,high.school,no,unknown,no,cellular,2,999,no
37331,58,technician,married,professional.course,no,unknown,no,cellular,2,999,yes
24136,34,admin.,single,high.school,no,unknown,no,cellular,1,999,no
2758,48,blue-collar,married,basic.4y,no,unknown,no,telephone,2,999,no
8815,30,technician,single,professional.course,no,unknown,unknown,telephone,1,999,no
37796,63,technician,married,unknown,no,yes,no,cellular,1,999,no
26143,53,unemployed,married,basic.9y,no,unknown,no,cellular,2,999,no
3987,51,blue-collar,married,basic.4y,unknown,yes,unknown,telephone,4,999,no
26939,33,management,single,university.degree,no,no,no,cellular,3,999,yes
28910,54,entrepreneur,married,basic.9y,no,unknown,yes,cellular,1,999,no
9061,39,blue-collar,married,basic.6y,no,unknown,no,telephone,5,999,no
40630,27,services,single,high.school,no,unknown,yes,telephone,1,999,no
26891,43,technician,married,professional.course,no,no,no,cellular,3,999,no
19652,36,admin.,married,high.school,unknown,unknown,no,cellular,3,999,no
9268,41,blue-collar,married,basic.9y,unknown,unknown,no,telephone,1,999,no
28239,39,technician,married,basic.6y,no,no,no,cellular,3,999,no
30627,51,unemployed,married,high.school,no,no,no,cellular,5,3,no
25838,32,services,married,professional.course,no,unknown,no,cellular,1,999,no
24966,47,services,married,high.school,no,yes,no,cellular,1,999,no
15573,39,blue-collar,married,basic.9y,no,unknown,yes,telephone,5,999,no
18918,52,blue-collar,married,basic.9y,no,unknown,no,cellular,1,999,no
7776,38,services,married,high.school,unknown,unknown,unknown,telephone,7,999,no
658,56,management,married,university.degree,unknown,unknown,yes,telephone,2,999,no
23506,33,services,married,professional.course,no,unknown,no,cellular,5,999,no
21273,52,admin.,divorced,university.degree,no,no,no,cellular,2,999,no
14241,27,blue-collar,single,basic.9y,no,unknown,unknown,cellular,3,999,no
40468,51,blue-collar,married,basic.9y,no,unknown,no,cellular,1,6,yes
2831,52,blue-collar,married,basic.4y,unknown,yes,yes,telephone,1,999,no
944,55,blue-collar,married,basic.4y,unknown,unknown,no,telephone,2,999,no
4216,36,technician,married,professional.course,no,unknown,no,telephone,1,999,no
30157,21,admin.,single,high.school,no,unknown,no,cellular,1,999,no
23364,46,housemaid,married,basic.4y,no,unknown,yes,cellular,14,999,no
24388,33,technician,single,university.degree,no,no,no,cellular,1,999,no
14041,22,blue-collar,married,professional.course,no,unknown,unknown,cellular,5,999,no
14939,42,technician,married,high.school,unknown,unknown,no,cellular,2,999,no
25362,35,services,divorced,basic.9y,no,unknown,yes,cellular,6,999,no
26419,38,admin.,married,high.school,no,unknown,unknown,cellular,1,999,no
34294,39,services,divorced,high.school,no,no,no,cellular,1,999,no
23423,31,technician,single,professional.course,no,yes,no,cellular,3,999,no
37636,74,retired,married,basic.9y,no,unknown,no,cellular,1,999,yes
9702,26,admin.,single,high.school,no,yes,no,telephone,2,999,no
15969,55,technician,married,professional.course,unknown,unknown,no,cellular,4,999,no
25442,33,admin.,married,university.degree,no,unknown,yes,cellular,3,999,no
6883,43,unemployed,married,high.school,no,yes,no,telephone,3,999,no
36539,26,technician,single,professional.course,no,yes,no,cellular,1,999,no
18393,35,technician,married,professional.course,no,unknown,no,cellular,3,999,no
36153,33,admin.,single,university.degree,no,unknown,no,cellular,1,999,yes
28782,37,admin.,married,professional.course,no,unknown,yes,cellular,5,999,yes
27942,28,admin.,single,high.school,no,no,no,telephone,2,999,yes
8202,38,student,single,university.degree,no,unknown,unknown,telephone,1,999,no
38616,37,self-employed,married,professional.course,no,yes,yes,cellular,1,5,yes
29651,48,retired,divorced,basic.4y,unknown,unknown,no,cellular,3,999,no
7761,24,entrepreneur,married,university.degree,unknown,unknown,no,telephone,2,999,no
17945,44,blue-collar,single,basic.9y,no,yes,no,telephone,11,999,yes
14423,32,admin.,single,university.degree,no,unknown,unknown,cellular,3,999,no
25101,45,self-employed,married,basic.4y,no,unknown,unknown,cellular,1,999,no
10862,28,technician,single,university.degree,unknown,no,no,telephone,2,999,no
37235,54,technician,married,university.degree,no,unknown,no,cellular,1,4,no
5383,26,services,single,high.school,no,no,no,telephone,4,999,no
35029,32,admin.,divorced,high.school,no,unknown,no,cellular,1,999,no
3862,43,blue-collar,divorced,basic.9y,no,unknown,no,telephone,3,999,no
34645,37,housemaid,single,high.school,no,yes,no,cellular,2,999,no
39221,34,admin.,single,university.degree,no,yes,no,cellular,1,6,yes
2762,40,housemaid,divorced,basic.6y,unknown,yes,unknown,telephone,5,999,no
3376,28,student,single,basic.4y,no,no,no,telephone,8,999,no
13271,32,technician,single,university.degree,no,no,yes,cellular,1,999,no
10031,29,services,married,high.school,no,yes,unknown,telephone,2,999,no
36045,54,admin.,divorced,professional.course,no,yes,no,cellular,1,999,no
33470,35,admin.,single,basic.9y,no,unknown,no,cellular,3,9,no
34182,27,self-employed,married,basic.9y,no,yes,no,cellular,2,999,no
23076,48,housemaid,married,basic.9y,no,unknown,no,cellular,1,999,no
24451,38,entrepreneur,married,high.school,no,unknown,no,cellular,2,999,no
41122,46,admin.,single,university.degree,no,unknown,no,cellular,3,999,no
31200,34,blue-collar,married,basic.4y,no,unknown,yes,cellular,4,999,no
40292,80,retired,divorced,basic.4y,no,no,yes,cellular,2,6,yes
38160,35,admin.,married,high.school,no,unknown,no,cellular,1,4,no
24495,29,admin.,single,university.degree,no,yes,no,cellular,1,999,no
16955,38,blue-collar,single,high.school,unknown,no,no,cellular,3,999,no
24123,57,management,married,university.degree,no,yes,no,telephone,1,999,no
23337,47,admin.,married,university.degree,no,unknown,no,cellular,3,999,no
7916,36,technician,married,professional.course,no,unknown,no,telephone,1,999,no
37483,62,retired,married,university.degree,unknown,unknown,yes,cellular,2,999,no
31679,28,blue-collar,single,high.school,no,no,no,cellular,1,999,no
22783,50,housemaid,married,basic.4y,no,no,no,cellular,1,999,no
35221,32,technician,single,university.degree,no,no,yes,cellular,2,999,no
34067,29,services,single,basic.6y,no,unknown,yes,cellular,5,999,no
21100,38,technician,divorced,university.degree,unknown,unknown,no,cellular,3,999,no
15639,30,management,single,university.degree,no,unknown,no,telephone,3,999,no
38358,36,management,married,basic.4y,no,unknown,no,cellular,2,999,no
28020,41,blue-collar,married,basic.4y,unknown,unknown,yes,cellular,1,999,no
6137,38,blue-collar,single,basic.9y,no,yes,no,telephone,1,999,no
5908,44,technician,married,professional.course,no,yes,no,telephone,3,999,no
39823,47,blue-collar,married,basic.9y,no,no,no,cellular,1,999,no
19736,51,admin.,divorced,university.degree,no,yes,no,cellular,6,999,no
5708,43,entrepreneur,married,high.school,no,yes,yes,telephone,2,999,yes
12170,58,management,married,university.degree,no,no,no,telephone,1,999,no
11584,42,blue-collar,married,basic.9y,unknown,unknown,no,telephone,2,999,no
35931,46,admin.,single,university.degree,no,no,no,cellular,1,999,no
6391,39,technician,married,professional.course,no,unknown,unknown,telephone,5,999,no
35835,45,admin.,single,university.degree,no,no,no,cellular,1,3,yes
23085,55,technician,divorced,university.degree,no,unknown,no,cellular,1,999,no
24008,35,management,married,university.degree,no,unknown,no,telephone,1,999,no
25768,51,entrepreneur,divorced,university.degree,no,unknown,no,cellular,1,999,no
21188,32,admin.,single,university.degree,no,unknown,unknown,cellular,3,999,no
10184,41,admin.,married,basic.9y,unknown,unknown,no,telephone,2,999,no
16802,54,technician,married,professional.course,unknown,no,yes,cellular,1,999,no
1931,40,blue-collar,married,high.school,no,unknown,no,telephone,3,999,no
25077,54,management,married,university.degree,no,no,no,cellular,1,999,no
5002,37,blue-collar,single,high.school,no,yes,yes,telephone,2,999,no
11811,40,housemaid,married,basic.4y,unknown,unknown,no,telephone,4,999,no
30359,28,admin.,married,university.degree,no,yes,no,cellular,1,999,no
22232,31,management,married,university.degree,no,unknown,yes,cellular,2,999,no
3221,45,admin.,married,basic.6y,unknown,unknown,no,telephone,1,999,no
14155,40,entrepreneur,married,university.degree,no,unknown,no,cellular,3,999,no
31595,32,admin.,married,high.school,no,no,no,cellular,1,999,no
30880,39,blue-collar,married,basic.9y,no,unknown,no,cellular,1,999,no
40056,35,admin.,married,high.school,no,unknown,no,cellular,2,15,yes
3520,29,unemployed,single,university.degree,no,unknown,no,telephone,1,999,no
431,43,self-employed,divorced,university.degree,no,unknown,no,telephone,1,999,no
30592,56,technician,married,professional.course,no,unknown,yes,cellular,2,999,yes
29227,47,admin.,married,university.degree,unknown,yes,yes,cellular,2,999,no
12514,47,admin.,married,basic.9y,no,yes,no,cellular,1,999,no
39857,35,admin.,single,university.degree,no,unknown,no,cellular,1,14,yes
34221,32,management,married,university.degree,no,unknown,yes,cellular,9,999,no
17378,44,blue-collar,single,high.school,unknown,unknown,no,cellular,2,999,yes
12585,45,technician,married,unknown,unknown,unknown,no,cellular,2,999,no
18839,41,technician,married,university.degree,no,unknown,no,cellular,1,999,no
18482,38,services,married,high.school,no,unknown,no,telephone,1,999,no
1504,44,blue-collar,single,basic.9y,unknown,unknown,no,telephone,2,999,no
15918,57,admin.,married,university.degree,no,yes,no,cellular,2,999,no
20022,41,technician,divorced,university.degree,no,unknown,yes,cellular,2,999,no
13788,41,admin.,married,high.school,no,unknown,unknown,cellular,4,999,no
29519,40,technician,married,professional.course,no,unknown,yes,cellular,1,999,no
38538,34,unknown,single,university.degree,no,unknown,no,telephone,1,999,no
37790,51,admin.,divorced,high.school,no,unknown,no,cellular,1,6,yes
26703,39,services,single,university.degree,unknown,unknown,no,cellular,2,999,no
31777,34,services,single,high.school,no,unknown,unknown,cellular,1,999,no
12354,28,blue-collar,divorced,basic.4y,no,unknown,no,telephone,1,999,no
29526,29,technician,single,university.degree,no,no,yes,cellular,1,999,no
39497,59,retired,divorced,high.school,no,yes,no,cellular,2,999,no
34957,34,admin.,married,university.degree,no,unknown,no,cellular,1,999,no
21256,31,technician,single,professional.course,no,yes,unknown,cellular,2,999,no
12725,33,technician,married,professional.course,no,unknown,no,telephone,17,999,no
3716,24,admin.,married,high.school,no,yes,no,telephone,2,999,no
38589,60,retired,married,basic.4y,unknown,unknown,no,cellular,1,999,no
29664,34,blue-collar,married,basic.9y,no,unknown,no,cellular,1,999,no
1078,29,admin.,single,university.degree,no,unknown,no,telephone,1,999,no
6189,55,admin.,married,high.school,no,unknown,no,telephone,1,999,no
28897,34,technician,married,professional.course,no,no,no,cellular,2,999,no
32047,36,blue-collar,married,basic.4y,no,no,no,cellular,2,999,no
32316,49,blue-collar,married,basic.4y,no,yes,no,cellular,1,999,no
28383,38,services,married,basic.9y,no,yes,no,cellular,1,999,no
12080,41,blue-collar,married,professional.course,unknown,unknown,yes,telephone,1,999,no
31793,37,management,divorced,university.degree,no,no,no,cellular,1,999,no
8,41,blue-collar,married,unknown,unknown,unknown,no,telephone,1,999,no
26843,43,technician,single,professional.course,unknown,unknown,unknown,cellular,3,999,no
19061,53,blue-collar,married,basic.4y,unknown,unknown,no,telephone,4,999,yes
37701,32,admin.,married,university.degree,no,unknown,unknown,cellular,2,999,no
8719,25,services,single,high.school,no,unknown,yes,telephone,2,999,no
8562,25,blue-collar,married,high.school,no,no,yes,telephone,1,999,no
3929,40,self-employed,married,high.school,unknown,unknown,no,telephone,2,999,no
16811,56,services,married,high.school,unknown,no,yes,cellular,1,999,no
13832,29,technician,married,unknown,no,unknown,no,cellular,1,999,no
25544,29,technician,single,basic.9y,no,unknown,no,cellular,1,999,no
28473,48,blue-collar,single,basic.9y,no,unknown,no,cellular,1,999,no
2625,34,blue-collar,single,basic.4y,no,unknown,yes,telephone,3,999,no
29911,41,blue-collar,married,professional.course,no,unknown,no,cellular,3,999,no
9759,41,blue-collar,married,basic.4y,no,yes,no,telephone,2,999,no
4852,46,housemaid,married,basic.4y,no,no,no,telephone,2,999,yes
7030,47,admin.,married,basic.9y,no,unknown,no,telephone,1,999,no
10478,44,services,divorced,high.school,no,unknown,unknown,telephone,3,999,no
14112,31,technician,single,basic.9y,no,unknown,no,cellular,2,999,no
25229,32,admin.,single,university.degree,no,yes,no,cellular,2,999,no
13907,55,entrepreneur,married,professional.course,unknown,yes,no,cellular,2,999,no
17148,46,technician,divorced,university.degree,unknown,yes,no,telephone,4,999,yes
22614,32,technician,married,professional.course,no,unknown,unknown,cellular,2,999,no
11343,25,admin.,married,high.school,unknown,unknown,no,telephone,18,999,no
13526,36,blue-collar,married,basic.9y,unknown,unknown,no,cellular,1,999,no
5823,52,technician,married,professional.course,no,unknown,no,telephone,11,999,no
9799,37,blue-collar,divorced,basic.9y,unknown,unknown,no,telephone,2,999,no
38510,68,retired,divorced,professional.course,no,yes,no,cellular,2,999,yes
24874,54,admin.,divorced,university.degree,no,yes,no,cellular,2,999,no
6989,43,entrepreneur,married,basic.4y,no,yes,no,telephone,1,999,no
11923,53,technician,married,unknown,no,unknown,unknown,telephone,2,999,no
36339,32,admin.,single,high.school,no,yes,no,cellular,1,999,yes
22111,48,services,married,high.school,no,unknown,no,cellular,1,999,no
2993,26,unemployed,single,basic.9y,no,unknown,no,telephone,1,999,no
17135,29,services,single,university.degree,no,no,no,cellular,1,999,no
16597,24,technician,married,high.school,unknown,unknown,no,cellular,4,999,no
35543,35,blue-collar,married,professional.course,no,yes,no,cellular,1,999,no
9286,48,management,married,basic.9y,no,yes,no,telephone,2,999,no
41049,25,student,single,high.school,no,yes,no,telephone,1,999,no
23390,37,technician,married,university.degree,no,no,no,cellular,4,999,no
40719,86,retired,married,unknown,unknown,unknown,yes,cellular,1,7,yes
31694,38,technician,married,university.degree,no,unknown,unknown,cellular,1,999,no
41162,33,admin.,married,university.degree,no,yes,no,cellular,1,999,no
6661,54,admin.,married,high.school,no,unknown,unknown,telephone,1,999,no
31419,30,admin.,divorced,high.school,no,unknown,unknown,telephone,4,999,no
39929,31,unemployed,single,high.school,no,yes,no,cellular,3,999,no
26863,41,management,divorced,basic.6y,no,unknown,no,cellular,1,999,no
6429,41,technician,single,university.degree,unknown,no,no,telephone,1,999,no
22255,31,admin.,single,university.degree,no,unknown,no,cellular,3,999,no
4157,28,admin.,married,high.school,no,no,no,telephone,5,999,no
1292,45,blue-collar,married,basic.4y,unknown,unknown,yes,telephone,1,999,no
11912,36,blue-collar,married,professional.course,unknown,unknown,no,telephone,2,999,no
22875,29,admin.,single,university.degree,no,no,no,cellular,7,999,no
31991,38,technician,married,university.degree,no,unknown,no,cellular,3,999,no
32745,35,blue-collar,single,basic.4y,unknown,unknown,yes,cellular,2,999,no
11221,55,retired,divorced,professional.course,no,unknown,unknown,telephone,3,999,no
35319,30,technician,married,basic.9y,no,unknown,unknown,cellular,2,999,no
466,44,admin.,married,high.school,no,yes,yes,telephone,1,999,no
27285,58,retired,married,professional.course,unknown,unknown,unknown,telephone,1,999,no
40111,33,admin.,single,university.degree,no,yes,no,cellular,1,999,no
20772,49,blue-collar,married,basic.9y,unknown,unknown,yes,cellular,4,999,no
27249,47,technician,married,university.degree,no,unknown,no,cellular,2,999,no
33061,47,admin.,single,high.school,no,yes,no,cellular,3,999,yes
9094,33,admin.,single,university.degree,no,no,yes,telephone,4,999,no
37404,74,retired,married,university.degree,no,unknown,no,cellular,2,999,yes
8553,58,services,married,basic.4y,no,unknown,no,telephone,1,999,no
32789,28,technician,married,university.degree,no,unknown,no,cellular,1,999,no
16605,31,technician,single,professional.course,no,no,no,telephone,2,999,no
23710,41,management,married,university.degree,unknown,yes,no,cellular,1,999,no
19499,35,technician,single,university.degree,no,unknown,no,cellular,1,999,no
1046,42,blue-collar,married,basic.4y,unknown,unknown,no,telephone,2,999,no
16691,24,services,single,high.school,no,no,no,cellular,5,999,no
34124,39,entrepreneur,married,basic.9y,no,unknown,no,cellular,2,999,no
11528,25,admin.,married,high.school,no,yes,no,telephone,3,999,no
11475,37,technician,married,basic.6y,no,unknown,no,telephone,1,999,no
7948,47,management,divorced,university.degree,no,no,yes,telephone,1,999,no
315,40,management,married,university.degree,unknown,yes,no,telephone,2,999,no
37055,45,admin.,married,university.degree,no,unknown,no,cellular,1,999,no
14607,31,admin.,married,basic.9y,no,unknown,no,cellular,2,999,no
34870,23,admin.,single,high.school,no,unknown,no,cellular,4,999,no
5467,37,services,married,high.school,no,unknown,no,telephone,2,999,no
21742,30,technician,single,professional.course,no,yes,yes,cellular,5,999,no
5458,31,services,single,basic.6y,no,unknown,no,telephone,2,999,no
12052,29,services,married,high.school,no,unknown,yes,telephone,4,999,no
21713,32,technician,married,high.school,no,unknown,no,cellular,3,999,no
30391,71,retired,divorced,basic.4y,no,yes,no,telephone,1,999,no
37936,71,retired,married,basic.4y,no,unknown,no,telephone,1,999,no
25769,52,entrepreneur,married,unknown,no,unknown,no,cellular,1,999,no
17709,51,services,married,high.school,unknown,unknown,no,cellular,1,999,no
