Client ID,Age,Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Previous Contact Days,Subscription Status,WasContactedBefore,PreviouslyContacted,Age Group
12354,28,blue-collar,divorced,basic.4y,no,unknown,no,telephone,1,999,no,0,0,26–35
29526,29,technician,single,university.degree,no,no,yes,cellular,1,999,no,0,0,26–35
39497,59,retired,divorced,high.school,no,yes,no,cellular,2,999,no,0,0,56–65
34957,34,admin.,married,university.degree,no,unknown,no,cellular,1,999,no,0,0,26–35
21256,31,technician,single,professional.course,no,yes,unknown,cellular,2,999,no,0,0,26–35
12725,33,technician,married,professional.course,no,unknown,no,telephone,17,999,no,0,0,26–35
3716,24,admin.,married,high.school,no,yes,no,telephone,2,999,no,0,0,1–25
38589,60,retired,married,basic.4y,unknown,unknown,no,cellular,1,999,no,0,0,56–65
29664,34,blue-collar,married,basic.9y,no,unknown,no,cellular,1,999,no,0,0,26–35
1078,29,admin.,single,university.degree,no,unknown,no,telephone,1,999,no,0,0,26–35
6189,55,admin.,married,high.school,no,unknown,no,telephone,1,999,no,0,0,56–65
28897,34,technician,married,professional.course,no,no,no,cellular,2,999,no,0,0,26–35
32047,36,blue-collar,married,basic.4y,no,no,no,cellular,2,999,no,0,0,36–45
32316,49,blue-collar,married,basic.4y,no,yes,no,cellular,1,999,no,0,0,46–55
28383,38,services,married,basic.9y,no,yes,no,cellular,1,999,no,0,0,36–45
12080,41,blue-collar,married,professional.course,unknown,unknown,yes,telephone,1,999,no,0,0,36–45
31793,37,management,divorced,university.degree,no,no,no,cellular,1,999,no,0,0,36–45
8,41,blue-collar,married,unknown,unknown,unknown,no,telephone,1,999,no,0,0,36–45
26843,43,technician,single,professional.course,unknown,unknown,unknown,cellular,3,999,no,0,0,36–45
19061,53,blue-collar,married,basic.4y,unknown,unknown,no,telephone,4,999,yes,0,0,46–55
37701,32,admin.,married,university.degree,no,unknown,unknown,cellular,2,999,no,0,0,26–35
8719,25,services,single,high.school,no,unknown,yes,telephone,2,999,no,0,0,26–35
8562,25,blue-collar,married,high.school,no,no,yes,telephone,1,999,no,0,0,26–35
3929,40,self-employed,married,high.school,unknown,unknown,no,telephone,2,999,no,0,0,36–45
16811,56,services,married,high.school,unknown,no,yes,cellular,1,999,no,0,0,56–65
13832,29,technician,married,unknown,no,unknown,no,cellular,1,999,no,0,0,26–35
25544,29,technician,single,basic.9y,no,unknown,no,cellular,1,999,no,0,0,26–35
28473,48,blue-collar,single,basic.9y,no,unknown,no,cellular,1,999,no,0,0,46–55
