Client ID,Age,Occupation,Marital Status,Education Level,Credit Default,Housing Loan,Personal Loan,Contact Method,Campaign Calls,Previous Contact Days,Subscription Status
25810,30 years,management,married,university.degree,no,no,no,Cell,5,999,no
25000,50 years,entrepreneur,married,basic.9y,no,,no,Telephone,1,999,no
12663,38 years,blue-collar,married,unknown,unknown,,no,cellular,3,999,no
41021,25 years,student,single,high.school,no,yes,no,cellular,1,3,yes
757,30 years,services,married,university.degree,no,yes,no,Telephone,3,999,no
28063,45 years,blue-collar,married,basic.4y,unknown,yes,no,cellular,1,999,no
6315,55 years,retired,married,high.school,no,,no,Telephone,5,999,no
12358,45 years,blue-collar,married,basic.9y,no,yes,no,Cell,1,999,no
12516,39 years,admin.,married,high.school,no,,no,cellular,1,999,no
23462,44 years,technician,married,professional.course,no,yes,no,cellular,-9,999,no
6109,34 years,blue-collar,married,basic.9y,unknown,,no,telephone,1,999,no
32669,34 years,technician,married,professional.course,no,,no,Cell,1,999,yes
38203,150 years,retired,married,high.school,no,,no,cellular,1,999,no
2465,36 years,blue-collar,married,basic.9y,unknown,,no,telephone,-1,999,no
33790,24 years,admin.,married,basic.9y,no,,no,Cell,1,10,yes
15984,24 years,admin.,single,high.school,no,yes,no,telephone,3,999,no
12894,37 years,blue-collar,single,basic.6y,no,,no,Cell,3,999,no
24130,52 years,technician,divorced,university.degree,no,,no,Cell,-1,999,no
27060,31 years,admin.,single,high.school,no,,no,cellular,1,999,no
39197,41 years,admin.,divorced,university.degree,no,yes,,Cell,2,6,yes
29732,150 years,blue-collar,married,basic.4y,unknown,,no,cellular,1,999,no
27102,35 years,admin.,single,university.degree,no,,no,cellular,1,999,yes
4501,150 years,admin.,single,university.degree,no,,no,telephone,1,999,no
27191,50 years,admin.,married,university.degree,no,,yes,Cell,2,999,no
3420,45 years,blue-collar,married,basic.4y,no,,,Telephone,3,999,no
40577,33 years,technician,single,professional.course,no,no,no,Cell,1,999,no
26279,42 years,management,married,university.degree,no,,no,Cell,2,999,no
38247,77 years,retired,married,university.degree,no,,yes,cellular,-1,999,yes
1632,150 years,admin.,married,high.school,no,,no,Telephone,2,999,no
2991,43 years,services,single,high.school,unknown,,no,telephone,5,999,no
37778,57 years,retired,married,university.degree,no,yes,no,cellular,-1,999,no
18429,47 years,admin.,married,high.school,unknown,no,yes,Telephone,-5,999,no
26096,44 years,entrepreneur,married,university.degree,no,,no,Cell,2,999,no
32715,51 years,entrepreneur,married,professional.course,unknown,,no,cellular,-1,999,no
35637,150 years,services,single,high.school,no,,no,Cell,6,999,no
18184,36 years,admin.,married,high.school,no,,no,Cell,13,999,no
217,30 years,blue-collar,single,unknown,no,,no,telephone,1,999,no
13329,30 years,admin.,married,university.degree,no,yes,no,telephone,2,999,no
24445,150 years,admin.,single,high.school,no,,no,cellular,1,999,no
25603,43 years,services,divorced,high.school,no,,no,cellular,1,999,no
3446,40 years,blue-collar,single,basic.4y,unknown,,no,Telephone,4,999,no
33318,41 years,management,married,high.school,unknown,yes,,Cell,2,999,no
13283,44 years,admin.,married,high.school,no,,no,Cell,1,999,no
4244,150 years,blue-collar,married,basic.4y,no,yes,yes,Telephone,2,999,no
13927,150 years,services,single,high.school,no,,,Cell,2,999,no
3271,46 years,blue-collar,single,basic.4y,no,,no,telephone,-2,999,no
34280,31 years,services,married,high.school,no,yes,no,cellular,1,999,no
34152,56 years,blue-collar,married,basic.4y,no,,yes,Cell,2,999,no
18144,25 years,services,single,basic.9y,no,,no,cellular,1,999,no
26518,53 years,management,married,high.school,no,,no,Cell,1,999,no
8086,150 years,blue-collar,married,basic.4y,unknown,,no,Telephone,2,999,no
27442,40 years,management,married,high.school,no,,no,cellular,4,999,no
41032,25 years,student,single,high.school,no,yes,no,Cell,1,6,no
25159,40 years,admin.,divorced,basic.9y,no,no,no,Cell,1,999,no
26622,31 years,unemployed,single,professional.course,no,,no,Cell,1,999,no
38325,150 years,services,married,basic.9y,no,,no,Telephone,1,999,yes
8232,35 years,blue-collar,married,basic.9y,no,,no,telephone,4,999,no
28108,44 years,management,divorced,university.degree,no,yes,no,Cell,-1,999,no
11012,42 years,admin.,married,basic.6y,no,,no,Telephone,3,999,no
533,41 years,blue-collar,married,basic.6y,no,no,no,Telephone,1,999,no
11512,60 years,retired,divorced,university.degree,no,,no,Telephone,4,999,no
22237,29 years,admin.,single,high.school,no,yes,no,cellular,3,999,yes
36853,53 years,housemaid,married,basic.4y,no,yes,no,cellular,2,999,yes
38579,60 years,technician,married,basic.4y,no,yes,no,cellular,6,999,no
10647,45 years,admin.,divorced,university.degree,unknown,,no,Telephone,1,999,no
29823,52 years,entrepreneur,married,basic.9y,no,,yes,telephone,5,999,no
16549,49 years,self-employed,divorced,university.degree,no,,yes,Cell,-2,999,no
2001,150 years,self-employed,married,university.degree,no,,no,telephone,5,999,no
28518,45 years,blue-collar,married,basic.9y,unknown,yes,no,cellular,4,999,no
17076,42 years,admin.,single,high.school,no,no,yes,Cell,-1,999,no
6331,28 years,management,married,university.degree,no,,,telephone,2,999,no
29676,33 years,blue-collar,married,high.school,no,no,no,Cell,2,999,no
18295,38 years,admin.,married,unknown,no,yes,no,Cell,3,999,no
23559,46 years,technician,married,university.degree,no,yes,no,Cell,14,999,no
7946,54 years,admin.,married,high.school,unknown,yes,no,Telephone,-12,999,no
23679,45 years,technician,divorced,professional.course,no,,no,cellular,1,999,no
11336,38 years,admin.,married,high.school,no,yes,no,telephone,2,999,no
730,24 years,technician,single,professional.course,no,,no,Telephone,2,999,no
20941,31 years,technician,married,university.degree,no,,no,Cell,1,999,no
4169,29 years,technician,married,professional.course,no,yes,no,Telephone,42,999,no
33961,38 years,housemaid,divorced,university.degree,no,,no,cellular,1,999,no
11097,150 years,technician,single,professional.course,unknown,,yes,Telephone,1,999,no
4010,35 years,admin.,married,university.degree,no,,,telephone,1,999,no
22493,54 years,blue-collar,married,unknown,unknown,,yes,Cell,1,999,no
6223,36 years,services,married,high.school,unknown,no,no,telephone,3,999,no
25750,44 years,services,married,high.school,no,,no,Cell,1,999,no
22364,150 years,blue-collar,married,basic.4y,no,,no,Cell,1,999,no
15477,35 years,technician,married,university.degree,no,,no,cellular,1,999,no
13029,150 years,admin.,single,professional.course,no,yes,yes,Cell,3,999,no
10017,32 years,entrepreneur,married,high.school,unknown,,,telephone,8,999,no
10099,150 years,services,married,high.school,unknown,no,no,telephone,1,999,no
29960,53 years,blue-collar,married,basic.6y,no,,yes,cellular,2,999,no
7475,24 years,technician,single,professional.course,unknown,yes,yes,telephone,1,999,no
13545,31 years,admin.,divorced,high.school,no,,no,Cell,6,999,no
22980,44 years,admin.,married,university.degree,no,,no,cellular,5,999,no
13322,28 years,blue-collar,married,basic.4y,unknown,no,yes,cellular,2,999,no
15045,150 years,technician,divorced,high.school,no,no,no,Cell,1,999,no
40191,54 years,admin.,married,university.degree,no,,yes,Cell,5,999,no
40820,31 years,admin.,married,university.degree,no,,no,Cell,2,13,yes
6066,45 years,blue-collar,single,basic.9y,no,no,no,Telephone,2,999,no
22233,45 years,technician,single,university.degree,no,no,no,cellular,-3,999,no
35081,37 years,admin.,married,high.school,no,yes,no,Cell,6,999,no
6913,47 years,blue-collar,single,basic.9y,no,,no,Telephone,1,999,no
858,47 years,blue-collar,married,professional.course,unknown,,no,Telephone,1,999,no
35754,150 years,admin.,divorced,high.school,no,,no,Telephone,2,999,no
9591,150 years,technician,single,basic.9y,no,,no,Telephone,3,999,no
3291,47 years,blue-collar,married,basic.9y,unknown,yes,,telephone,4,999,no
34534,26 years,blue-collar,single,basic.9y,no,no,no,cellular,-2,999,no
22847,150 years,technician,married,university.degree,no,,no,cellular,2,999,no
14182,38 years,blue-collar,married,high.school,unknown,no,no,Cell,3,999,no
12006,52 years,technician,married,basic.9y,no,,yes,telephone,3,999,no
37978,150 years,technician,married,professional.course,no,,no,cellular,1,999,no
4560,43 years,technician,married,unknown,no,,no,Telephone,2,999,no
22945,59 years,management,married,university.degree,no,no,no,Cell,2,999,no
5988,51 years,unemployed,married,professional.course,no,,no,Telephone,3,999,no
11807,29 years,blue-collar,married,unknown,unknown,no,yes,telephone,5,999,no
6246,34 years,admin.,single,university.degree,no,yes,no,Telephone,3,999,no
16228,37 years,student,single,unknown,no,,no,Cell,2,999,no
35752,38 years,admin.,single,high.school,no,no,no,cellular,3,999,no
10090,55 years,self-employed,married,unknown,unknown,,yes,Telephone,1,999,no
29633,56 years,services,married,basic.4y,no,yes,yes,Cell,1,999,no
37064,42 years,blue-collar,married,basic.6y,no,,no,Cell,1,999,no
31441,34 years,admin.,married,university.degree,no,,no,telephone,4,999,no
37494,81 years,retired,married,basic.6y,no,,no,cellular,2,4,no
23251,44 years,technician,divorced,professional.course,no,,no,Cell,2,999,no
13416,150 years,technician,married,university.degree,no,,unknown,Telephone,1,999,no
26916,30 years,admin.,married,high.school,no,,no,Cell,2,999,no
33667,150 years,self-employed,single,professional.course,no,,no,cellular,2,999,yes
25577,47 years,services,married,high.school,no,yes,no,cellular,1,999,no
40349,37 years,technician,single,university.degree,no,,no,Cell,2,999,yes
36548,50 years,admin.,single,basic.9y,no,unknown,unknown,Cell,1,999,yes
33719,31 years,admin.,single,high.school,no,yes,no,Cell,1,999,yes
39441,35 years,admin.,married,university.degree,no,,no,cellular,1,999,yes
27130,29 years,admin.,married,high.school,no,,no,cellular,1,999,no
6113,53 years,self-employed,married,university.degree,no,,yes,Telephone,-1,999,no
10330,29 years,admin.,single,basic.9y,unknown,,no,Telephone,2,999,no
4326,45 years,blue-collar,married,basic.9y,unknown,no,no,telephone,1,999,no
24080,39 years,management,married,university.degree,no,,no,Telephone,1,999,yes
19566,41 years,unemployed,divorced,university.degree,unknown,,no,Cell,-1,999,no
28925,55 years,admin.,married,basic.4y,no,,no,Cell,1,999,no
2386,41 years,technician,single,professional.course,no,,no,Telephone,1,999,no
26750,30 years,services,married,high.school,no,no,,Cell,1,999,no
27148,50 years,blue-collar,divorced,professional.course,no,yes,no,cellular,1,999,no
8279,37 years,management,married,university.degree,no,no,no,Telephone,1,999,no
20191,150 years,self-employed,married,university.degree,no,,,cellular,2,999,no
14006,35 years,admin.,married,high.school,no,,no,cellular,2,999,no
37331,58 years,technician,married,professional.course,no,,no,cellular,2,999,yes
24136,34 years,admin.,single,high.school,no,,no,Cell,1,999,no
2758,48 years,blue-collar,married,basic.4y,no,,no,telephone,2,999,no
8815,30 years,technician,single,professional.course,no,,unknown,telephone,1,999,no
40164,150 years,retired,divorced,basic.4y,no,,no,Cell,2,6,yes
37796,63 years,technician,married,unknown,no,yes,no,Cell,1,999,no
26143,53 years,unemployed,married,basic.9y,no,,no,cellular,2,999,no
3987,51 years,blue-collar,married,basic.4y,unknown,yes,,telephone,4,999,no
26939,33 years,management,single,university.degree,no,no,no,cellular,3,999,yes
28910,54 years,entrepreneur,married,basic.9y,no,,yes,Cell,1,999,no
9061,39 years,blue-collar,married,basic.6y,no,,no,telephone,5,999,no
40630,27 years,services,single,high.school,no,,yes,Telephone,1,999,no
26891,43 years,technician,married,professional.course,no,no,no,cellular,-3,999,no
19652,36 years,admin.,married,high.school,unknown,,no,Cell,3,999,no
9255,150 years,technician,married,basic.9y,no,no,no,Telephone,-2,999,no
9268,41 years,blue-collar,married,basic.9y,unknown,,no,telephone,1,999,no
28239,39 years,technician,married,basic.6y,no,no,no,Cell,3,999,no
30627,51 years,unemployed,married,high.school,no,no,no,cellular,5,3,no
25838,32 years,services,married,professional.course,no,,no,Cell,1,999,no
24966,47 years,services,married,high.school,no,yes,no,cellular,1,999,no
15573,39 years,blue-collar,married,basic.9y,no,,yes,telephone,5,999,no
18918,52 years,blue-collar,married,basic.9y,no,,no,cellular,1,999,no
7776,38 years,services,married,high.school,unknown,,,telephone,7,999,no
658,56 years,management,married,university.degree,unknown,,yes,telephone,2,999,no
23506,33 years,services,married,professional.course,no,,no,Cell,5,999,no
21273,52 years,admin.,divorced,university.degree,no,no,no,Cell,2,999,no
14241,27 years,blue-collar,single,basic.9y,no,unknown,unknown,Cell,3,999,no
24204,150 years,unemployed,married,university.degree,no,,unknown,Cell,1,999,no
40468,51 years,blue-collar,married,basic.9y,no,,no,Cell,1,6,yes
2831,52 years,blue-collar,married,basic.4y,unknown,yes,yes,Telephone,1,999,no
944,55 years,blue-collar,married,basic.4y,unknown,,no,telephone,2,999,no
4216,36 years,technician,married,professional.course,no,,no,telephone,1,999,no
30157,21 years,admin.,single,high.school,no,,no,cellular,1,999,no
23364,46 years,housemaid,married,basic.4y,no,,yes,Cell,14,999,no
29527,150 years,blue-collar,married,basic.9y,unknown,,yes,Cell,5,999,no
24388,33 years,technician,single,university.degree,no,no,no,Cell,1,999,no
14041,22 years,blue-collar,married,professional.course,no,,,cellular,5,999,no
14939,42 years,technician,married,high.school,unknown,,no,cellular,2,999,no
41101,150 years,admin.,married,university.degree,no,,no,cellular,1,12,yes
25362,35 years,services,divorced,basic.9y,no,,yes,Cell,6,999,no
26419,38 years,admin.,married,high.school,no,,unknown,Cell,1,999,no
2005,150 years,entrepreneur,married,high.school,no,yes,no,Telephone,2,999,no
34294,39 years,services,divorced,high.school,no,no,no,Cell,1,999,no
23423,31 years,technician,single,professional.course,no,yes,no,Cell,3,999,no
37636,74 years,retired,married,basic.9y,no,,no,Cell,1,999,yes
9702,26 years,admin.,single,high.school,no,yes,no,Telephone,2,999,no
15969,55 years,technician,married,professional.course,unknown,,no,cellular,4,999,no
25442,33 years,admin.,married,university.degree,no,,yes,cellular,3,999,no
6883,43 years,unemployed,married,high.school,no,yes,no,telephone,3,999,no
36539,26 years,technician,single,professional.course,no,yes,no,cellular,1,999,no
18393,35 years,technician,married,professional.course,no,,no,Cell,3,999,no
36153,33 years,admin.,single,university.degree,no,,no,Cell,1,999,yes
28782,37 years,admin.,married,professional.course,no,,yes,Cell,5,999,yes
27942,28 years,admin.,single,high.school,no,no,no,telephone,2,999,yes
8202,38 years,student,single,university.degree,no,,unknown,Telephone,1,999,no
38616,37 years,self-employed,married,professional.course,no,yes,yes,Cell,1,5,yes
29651,48 years,retired,divorced,basic.4y,unknown,,no,cellular,3,999,no
7761,24 years,entrepreneur,married,university.degree,unknown,,no,telephone,2,999,no
17945,44 years,blue-collar,single,basic.9y,no,yes,no,Telephone,11,999,yes
14423,32 years,admin.,single,university.degree,no,unknown,unknown,Cell,3,999,no
25101,45 years,self-employed,married,basic.4y,no,,unknown,Cell,1,999,no
37873,150 years,technician,single,professional.course,no,yes,no,Cell,1,999,no
10862,28 years,technician,single,university.degree,unknown,no,no,telephone,2,999,no
37235,54 years,technician,married,university.degree,no,,no,Cell,1,4,no
5383,26 years,services,single,high.school,no,no,no,Telephone,4,999,no
35029,32 years,admin.,divorced,high.school,no,,no,Cell,-1,999,no
3862,43 years,blue-collar,divorced,basic.9y,no,,no,Telephone,3,999,no
34645,37 years,housemaid,single,high.school,no,yes,no,cellular,2,999,no
39221,34 years,admin.,single,university.degree,no,yes,no,Cell,1,6,yes
2762,40 years,housemaid,divorced,basic.6y,unknown,yes,,telephone,5,999,no
3376,28 years,student,single,basic.4y,no,no,no,telephone,8,999,no
13271,32 years,technician,single,university.degree,no,no,yes,cellular,1,999,no
10031,29 years,services,married,high.school,no,yes,,Telephone,2,999,no
36045,54 years,admin.,divorced,professional.course,no,yes,no,Cell,1,999,no
33470,35 years,admin.,single,basic.9y,no,,no,Cell,-3,9,no
34182,27 years,self-employed,married,basic.9y,no,yes,no,cellular,-2,999,no
23076,48 years,housemaid,married,basic.9y,no,,no,cellular,1,999,no
24451,38 years,entrepreneur,married,high.school,no,,no,cellular,2,999,no
41122,46 years,admin.,single,university.degree,no,,no,Cell,3,999,no
31200,34 years,blue-collar,married,basic.4y,no,,yes,Cell,4,999,no
40292,80 years,retired,divorced,basic.4y,no,no,yes,cellular,2,6,yes
38160,35 years,admin.,married,high.school,no,,no,Cell,1,4,no
24495,29 years,admin.,single,university.degree,no,yes,no,cellular,1,999,no
16955,38 years,blue-collar,single,high.school,unknown,no,no,cellular,3,999,no
24123,57 years,management,married,university.degree,no,yes,no,telephone,1,999,no
9507,150 years,management,married,basic.4y,no,no,,telephone,2,999,no
23337,47 years,admin.,married,university.degree,no,,no,Cell,3,999,no
7916,36 years,technician,married,professional.course,no,,no,telephone,1,999,no
37483,62 years,retired,married,university.degree,unknown,,yes,Cell,-2,999,no
31679,28 years,blue-collar,single,high.school,no,no,no,Cell,1,999,no
22783,50 years,housemaid,married,basic.4y,no,no,no,Cell,-1,999,no
35221,32 years,technician,single,university.degree,no,no,yes,cellular,2,999,no
34067,29 years,services,single,basic.6y,no,,yes,Cell,5,999,no
21100,38 years,technician,divorced,university.degree,unknown,,no,Cell,-3,999,no
14929,150 years,blue-collar,married,basic.4y,unknown,yes,no,Cell,4,999,no
15639,30 years,management,single,university.degree,no,,no,telephone,-3,999,no
38358,36 years,management,married,basic.4y,no,,no,cellular,2,999,no
28020,41 years,blue-collar,married,basic.4y,unknown,,yes,cellular,1,999,no
6137,38 years,blue-collar,single,basic.9y,no,yes,no,telephone,1,999,no
5908,44 years,technician,married,professional.course,no,yes,no,Telephone,3,999,no
39823,47 years,blue-collar,married,basic.9y,no,no,no,cellular,1,999,no
19736,51 years,admin.,divorced,university.degree,no,yes,no,Cell,6,999,no
5708,43 years,entrepreneur,married,high.school,no,yes,yes,telephone,2,999,yes
12170,58 years,management,married,university.degree,no,no,no,Telephone,1,999,no
11584,42 years,blue-collar,married,basic.9y,unknown,,no,Telephone,2,999,no
35931,46 years,admin.,single,university.degree,no,no,no,cellular,1,999,no
6391,39 years,technician,married,professional.course,no,,,telephone,5,999,no
35835,45 years,admin.,single,university.degree,no,no,no,cellular,1,3,yes
23085,55 years,technician,divorced,university.degree,no,,no,Cell,-1,999,no
26167,150 years,management,single,high.school,no,yes,yes,Cell,2,6,no
24008,35 years,management,married,university.degree,no,,no,Telephone,1,999,no
25768,51 years,entrepreneur,divorced,university.degree,no,,no,cellular,1,999,no
21188,32 years,admin.,single,university.degree,no,,,cellular,3,999,no
10184,41 years,admin.,married,basic.9y,unknown,,no,telephone,2,999,no
16802,54 years,technician,married,professional.course,unknown,no,yes,cellular,1,999,no
1931,40 years,blue-collar,married,high.school,no,,no,telephone,3,999,no
25077,54 years,management,married,university.degree,no,no,no,Cell,1,999,no
5002,37 years,blue-collar,single,high.school,no,yes,yes,Telephone,2,999,no
11811,40 years,housemaid,married,basic.4y,unknown,,no,Telephone,-4,999,no
1431,150 years,blue-collar,married,basic.6y,unknown,,no,Telephone,2,999,no
13207,150 years,services,single,high.school,no,,no,cellular,-1,999,no
21013,150 years,technician,married,professional.course,no,no,yes,Cell,2,999,no
30359,28 years,admin.,married,university.degree,no,yes,no,Cell,1,999,no
22232,31 years,management,married,university.degree,no,,yes,cellular,2,999,no
3221,45 years,admin.,married,basic.6y,unknown,,no,Telephone,1,999,no
14155,40 years,entrepreneur,married,university.degree,no,,no,Cell,3,999,no
31595,32 years,admin.,married,high.school,no,no,no,cellular,1,999,no
30880,39 years,blue-collar,married,basic.9y,no,,no,Cell,-1,999,no
40056,35 years,admin.,married,high.school,no,,no,cellular,2,15,yes
3520,29 years,unemployed,single,university.degree,no,,no,telephone,1,999,no
11844,150 years,admin.,divorced,high.school,no,no,no,telephone,3,999,no
431,43 years,self-employed,divorced,university.degree,no,,no,telephone,1,999,no
24855,150 years,admin.,married,university.degree,no,no,no,cellular,1,999,no
30592,56 years,technician,married,professional.course,no,,yes,Cell,2,999,yes
38125,150 years,management,married,university.degree,no,yes,no,cellular,1,999,no
29227,47 years,admin.,married,university.degree,unknown,yes,yes,cellular,2,999,no
12514,47 years,admin.,married,basic.9y,no,yes,no,Cell,-1,999,no
37512,150 years,blue-collar,married,basic.9y,no,,no,cellular,1,999,no
39857,35 years,admin.,single,university.degree,no,,no,cellular,1,14,yes
34221,32 years,management,married,university.degree,no,,yes,cellular,9,999,no
17378,44 years,blue-collar,single,high.school,unknown,,no,cellular,-2,999,yes
12585,45 years,technician,married,unknown,unknown,,no,Cell,2,999,no
18839,41 years,technician,married,university.degree,no,,no,cellular,1,999,no
18482,38 years,services,married,high.school,no,,no,Telephone,1,999,no
1504,44 years,blue-collar,single,basic.9y,unknown,,no,Telephone,2,999,no
15918,57 years,admin.,married,university.degree,no,yes,no,Cell,-2,999,no
20022,41 years,technician,divorced,university.degree,no,,yes,Cell,2,999,no
13788,41 years,admin.,married,high.school,no,,,Cell,4,999,no
29519,40 years,technician,married,professional.course,no,,yes,cellular,1,999,no
38538,34 years,unknown,single,university.degree,no,,no,Telephone,1,999,no
37790,51 years,admin.,divorced,high.school,no,,no,cellular,1,6,yes
26703,39 years,services,single,university.degree,unknown,,no,Cell,2,999,no
31777,34 years,services,single,high.school,no,,,Cell,1,999,no
12354,28 years,blue-collar,divorced,basic.4y,no,,no,telephone,1,999,no
29526,29 years,technician,single,university.degree,no,no,yes,cellular,1,999,no
39497,59 years,retired,divorced,high.school,no,yes,no,Cell,2,999,no
34957,34 years,admin.,married,university.degree,no,,no,Cell,1,999,no
21256,31 years,technician,single,professional.course,no,yes,,Cell,2,999,no
12725,33 years,technician,married,professional.course,no,,no,telephone,17,999,no
28487,150 years,self-employed,married,university.degree,no,,no,Cell,2,999,yes
3716,24 years,admin.,married,high.school,no,yes,no,telephone,2,999,no
38589,60 years,retired,married,basic.4y,unknown,,no,cellular,1,999,no
29664,34 years,blue-collar,married,basic.9y,no,,no,cellular,1,999,no
1078,29 years,admin.,single,university.degree,no,,no,telephone,-1,999,no
6189,55 years,admin.,married,high.school,no,,no,telephone,-1,999,no
28897,34 years,technician,married,professional.course,no,no,no,cellular,2,999,no
32047,36 years,blue-collar,married,basic.4y,no,no,no,Cell,2,999,no
32316,49 years,blue-collar,married,basic.4y,no,yes,no,Cell,1,999,no
28383,38 years,services,married,basic.9y,no,yes,no,Cell,1,999,no
12080,41 years,blue-collar,married,professional.course,unknown,,yes,Telephone,1,999,no
31793,37 years,management,divorced,university.degree,no,no,no,Cell,1,999,no
8,41 years,blue-collar,married,unknown,unknown,,no,Telephone,1,999,no
26843,43 years,technician,single,professional.course,unknown,,unknown,cellular,3,999,no
19061,53 years,blue-collar,married,basic.4y,unknown,,no,Telephone,4,999,yes
37701,32 years,admin.,married,university.degree,no,,,Cell,-2,999,no
8719,25 years,services,single,high.school,no,,yes,Telephone,2,999,no
8562,25 years,blue-collar,married,high.school,no,no,yes,Telephone,1,999,no
3929,40 years,self-employed,married,high.school,unknown,,no,Telephone,2,999,no
16811,56 years,services,married,high.school,unknown,no,yes,cellular,1,999,no
13832,29 years,technician,married,unknown,no,,no,Cell,-1,999,no
25544,29 years,technician,single,basic.9y,no,,no,cellular,1,999,no
28473,48 years,blue-collar,single,basic.9y,no,,no,cellular,1,999,no
2625,34 years,blue-collar,single,basic.4y,no,,yes,Telephone,3,999,no
29911,41 years,blue-collar,married,professional.course,no,,no,cellular,-3,999,no
9759,41 years,blue-collar,married,basic.4y,no,yes,no,Telephone,2,999,no
4852,46 years,housemaid,married,basic.4y,no,no,no,telephone,2,999,yes
7030,47 years,admin.,married,basic.9y,no,,no,Telephone,1,999,no
10478,44 years,services,divorced,high.school,no,,,telephone,3,999,no
20413,150 years,admin.,married,university.degree,no,,yes,Cell,1,999,no
14112,31 years,technician,single,basic.9y,no,,no,Cell,2,999,no
25229,32 years,admin.,single,university.degree,no,yes,no,cellular,2,999,no
13907,55 years,entrepreneur,married,professional.course,unknown,yes,no,Cell,2,999,no
17148,46 years,technician,divorced,university.degree,unknown,yes,no,telephone,4,999,yes
12958,150 years,blue-collar,divorced,basic.9y,no,,no,cellular,1,999,no
22614,32 years,technician,married,professional.course,no,,,cellular,2,999,no
11343,25 years,admin.,married,high.school,unknown,,no,Telephone,18,999,no
13526,36 years,blue-collar,married,basic.9y,unknown,,no,Cell,1,999,no
10931,150 years,admin.,married,university.degree,no,yes,no,Telephone,5,999,no
5823,52 years,technician,married,professional.course,no,,no,Telephone,11,999,no
9799,37 years,blue-collar,divorced,basic.9y,unknown,,no,telephone,2,999,no
38510,68 years,retired,divorced,professional.course,no,yes,no,Cell,2,999,yes
24874,54 years,admin.,divorced,university.degree,no,yes,no,cellular,2,999,no
6989,43 years,entrepreneur,married,basic.4y,no,yes,no,telephone,1,999,no
11923,53 years,technician,married,unknown,no,,,telephone,2,999,no
36339,32 years,admin.,single,high.school,no,yes,no,Cell,1,999,yes
22111,48 years,services,married,high.school,no,,no,cellular,1,999,no
2993,26 years,unemployed,single,basic.9y,no,,no,Telephone,-1,999,no
28752,150 years,blue-collar,married,basic.4y,no,,no,cellular,1,999,no
17135,29 years,services,single,university.degree,no,no,no,Cell,1,999,no
16597,24 years,technician,married,high.school,unknown,,no,cellular,4,999,no
24511,150 years,housemaid,married,university.degree,no,,no,cellular,1,999,no
